"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0273575496703736,0.0206616955888368,-0.0689235197687882,0.0142084204280411
-15,-0.0444213767339536,0.0253172650913488,-0.0953531446150563,0.00651039114714919
-14,-0.0344024100213575,0.0284571217922534,-0.0916507548349758,0.0228459347922609
-13,-0.00849506732664948,0.0228525248131651,-0.0544684173343084,0.0374782826810095
-12,-0.0255795027921283,0.0298243812024202,-0.0855784187539575,0.034419413169701
-11,-0.00119859362804195,0.0292467545733506,-0.0600354746983627,0.0576382874422788
-10,-0.00108859993878963,0.0303118037456799,-0.0620680835781995,0.0598908837006203
-9,-0.012589726245768,0.021745924905284,-0.0563368843862529,0.031157431894717
-8,-0.0090683361765527,0.0168579031160567,-0.0429820628516553,0.0248453904985499
-7,0.0289139312145489,0.0253799745420831,-0.0221439918091897,0.0799718542382875
-6,-0.0140247449257387,0.0171194530127182,-0.0484646421243171,0.0204151522728397
-5,-0.00425835720661452,0.0197006231573107,-0.0438908989578992,0.0353741845446702
-4,-0.0082760215000128,0.0133970269711227,-0.0352273634213507,0.0186753204213251
-3,0.0115412497495693,0.0334374516394164,-0.0557262263893245,0.078808725888463
-2,-0.00466044546852803,0.0281180280601275,-0.0612266216832769,0.0519057307462209
-1,0,NA,0,0
0,-0.0208444225706839,0.035567816110717,-0.0923976392255035,0.0507087940841356
1,0.00310096396877743,0.0346274277195763,-0.0665604352609434,0.0727623631984983
2,-0.00691789295216397,0.034711140574495,-0.0767477007236446,0.0629119148193166
3,-0.0219693223630929,0.0179423728563586,-0.0580647207506748,0.014126076024489
4,-0.0182461367247243,0.0337201204675166,-0.0860822691970756,0.0495899957476271
5,-0.0567854746502509,0.0279259279453627,-0.112965195281435,-0.000605754019066533
6,-0.0598680479434934,0.025970331052181,-0.11211361507614,-0.00762248081084677
7,-0.0746671064504333,0.0341625783982654,-0.143393349467693,-0.00594086343317349
8,-0.0368121033916111,0.0332179745978505,-0.103638048674153,0.0300138418909309
