"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00512375215719383,0.00508636386389534,-0.0153561964097632,0.00510869209537549
-15,-0.00963517943295435,0.00844923868403601,-0.0266328552038024,0.00736249633789367
-14,-0.00368650183736062,0.00604239045427171,-0.015842223513993,0.00846921983927179
-13,-0.001565670057526,0.00828298109266236,-0.0182288786960925,0.0150975385810405
-12,0.00379981093187747,0.00740775007972275,-0.0111026600190857,0.0187022818828406
-11,-0.000745656328783754,0.00966886061856999,-0.0201968949567673,0.0187055822991997
-10,0.00122368368045413,0.0102149116773747,-0.0193260679850917,0.021773435346
-9,0.0117363647583569,0.00846978199789042,-0.00530263882925829,0.0287753683459721
-8,-0.0001351546859229,0.0087966998886934,-0.0178318322391295,0.0175615228672837
-7,0.00299475773603939,0.0114543296737202,-0.0200483813262006,0.0260378967982794
-6,0.00526996775759008,0.00843990470737703,-0.0117089304742589,0.022248865989439
-5,0.00303086117739308,0.010832380445288,-0.0187610774245268,0.024822799779313
-4,0.00735938235922116,0.00875809612278524,-0.0102596344341255,0.0249783991525678
-3,0.00156269075316892,0.00999326566281436,-0.0185411666451793,0.0216665481515171
-2,-0.00501394774741331,0.00887289633244048,-0.0228639127735081,0.0128360172786814
-1,0,NA,0,0
0,-0.00951949323616885,0.00720013445438387,-0.0240042954223544,0.00496530895001674
1,0.0038145536782382,0.00980097767958233,-0.0159024701939387,0.0235315775504151
2,-0.00160276690974355,0.00831690378212932,-0.0183342191970454,0.0151286853775583
3,0.00255490120027009,0.00849864520248293,-0.0145421676653799,0.0196519700659201
4,-0.00284293246931838,0.00598219245872806,-0.0148775513994703,0.00919168646083354
5,-0.000600375912954022,0.010393306766121,-0.0215090122059814,0.0203082603800733
6,0.00942531756588933,0.00845096520370634,-0.00757583151452723,0.0264264666463059
7,0.00458984503334828,0.0129538448069333,-0.0214699293733273,0.0306496194400239
8,0.000860677448013294,0.00982411327391808,-0.0189028892365981,0.0206242441326247
