"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000163102634669554,0.00237110789044781,-0.00493315644030773,0.00460695117096863
-15,0.000432757386882461,0.00202989452581835,-0.00365086366930458,0.0045163784430695
-14,0.000243480275140725,0.0023305229189838,-0.00444492709915473,0.00493188764943618
-13,0.000318108026834443,0.00133495847352715,-0.00236748201850697,0.00300369807217585
-12,0.00131530847150366,0.00214056975915203,-0.00299096243544724,0.00562157937845456
-11,0.00157521017204672,0.00173764438338533,-0.00192047943246453,0.00507089977655797
-10,-0.000986002405395239,0.0017104320835094,-0.00442694792377431,0.00245494311298384
-9,-0.000452298718550387,0.00209375528493107,-0.00466439105108203,0.00375979361398125
-8,0.00213273193681981,0.00256078698161221,-0.00301890698112124,0.00728437085476085
-7,-0.000138365892006833,0.00138524078010805,-0.00292511089062083,0.00264837910660716
-6,-0.00143307689398814,0.00139814048453373,-0.00424577275061042,0.00137961896263413
-5,-8.78300085574939e-05,0.00164948693685064,-0.00340616970628794,0.00323050968917295
-4,0.00018028429077478,0.00148319881648439,-0.0028035268582629,0.00316409543981246
-3,-9.56089131459623e-05,0.00144787907523077,-0.00300836590776928,0.00281714808147736
-2,0.00105173742736987,0.00165513644433402,-0.00227796761344751,0.00438144246818725
-1,0,NA,0,0
0,7.43481725159312e-05,0.00158776488852053,-0.00311982277999844,0.0032685191250303
1,-0.001120505380217,0.00179183771623236,-0.00472521790799066,0.00248420714755665
2,-0.00152794983096214,0.00189483352248495,-0.0053398631949184,0.00228396353299412
3,-0.000334036379893454,0.0016167646360774,-0.00358654729945591,0.002918474539669
4,-0.000574355778982438,0.00174108807633921,-0.00407697320012585,0.00292826164216098
5,0.00127058716774565,0.00158379809867492,-0.00191560363292686,0.00445677796841816
6,0.00115139664379664,0.0013205745189679,-0.00150525661741029,0.00380804990500357
7,-0.00154690128471456,0.00142700805903192,-0.00441767121048795,0.00132386864105883
8,-4.58353607479603e-05,0.00199622943911107,-0.00406173099810774,0.00397006027661182
