"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0281486371660297,0.0229747744137803,-0.0743679216480335,0.0180706473159741
-15,0.00950614641652935,0.0259541882621642,-0.0427069456114359,0.0617192384444946
-14,-0.0150467268583608,0.0285437462424345,-0.072469337587888,0.0423758838711663
-13,0.00586091237298234,0.0228461370904498,-0.0400995871940998,0.0518214119400645
-12,0.00769732886697071,0.0324763570448942,-0.057636674338596,0.0730313320725374
-11,0.00283254217878767,0.0227724069236223,-0.0429796314246036,0.0486447157821789
-10,-0.0148194962621471,0.0210863723574311,-0.0572398058211827,0.0276008132968885
-9,-0.00240525052891355,0.0296113225269661,-0.0619755477215302,0.0571650466637031
-8,0.00326388449644061,0.0303112618806819,-0.0577145090511999,0.0642422780440811
-7,-0.00353368999352169,0.0260341265657269,-0.0559075971453629,0.0488402171583195
-6,-0.0243195373710724,0.0181916147174196,-0.0609163457082681,0.0122772709661233
-5,0.00299747863683733,0.0212026943403479,-0.0396568405678693,0.045651797841544
-4,2.62667943963305e-05,0.0288781947244748,-0.0580691674962067,0.0581217010849994
-3,-0.00756480798812862,0.0242975003412717,-0.0564450738070277,0.0413154578307704
-2,0.00773677407994237,0.0186210578617502,-0.0297239624290467,0.0451975105889315
-1,0,NA,0,0
0,-0.0301659942580837,0.0201045170757859,-0.0706110657684142,0.0102790772522467
1,-0.0164275123335364,0.0276281444868847,-0.0720081699169819,0.0391531452499091
2,-0.0331794023208572,0.0176832517898785,-0.0687535163610402,0.00239471171932581
3,-0.00197483155255283,0.0229321181223496,-0.0481083026449201,0.0441586395398145
4,-0.00120446893933531,0.0212410898803234,-0.0439360300073573,0.0415270921286867
5,-0.0198361100671023,0.0218767310959518,-0.0638464163208002,0.0241741961865957
6,-0.032336777779007,0.0190518360805688,-0.0706641282832257,0.00599057272521176
7,-0.034632388983742,0.0246304123789471,-0.084182387436341,0.014917609468857
8,-0.00637534162820294,0.0232821963891816,-0.0532130793529323,0.0404623960965265
