"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0082523618779203,0.00450574950601058,-0.000812036948039069,0.0173167607038797
-15,0.00708031856502772,0.0040609149621977,-0.00108918858723677,0.0152498257172922
-14,0.0109866556271238,0.0037983467990814,0.00334536748621601,0.0186279437680317
-13,0.00416889966375869,0.00417207227334616,-0.00422422715474043,0.0125620264822578
-12,0.00892016784662478,0.00572882243857982,-0.0026047363490304,0.02044507204228
-11,0.00881780687131693,0.00599330084871535,-0.00323915925701474,0.0208747729996486
-10,0.00458528558084463,0.00464787081752052,-0.00476502444534367,0.0139355956070329
-9,0.00370105686364187,0.00412886902079236,-0.00460515622136986,0.0120072699486536
-8,0.000288726846884075,0.00333825867267738,-0.00642698337025076,0.00700443706401891
-7,0.00257053296447065,0.00381587713086068,-0.00510602165509669,0.010247087584038
-6,0.00427643994047867,0.00334187198346954,-0.00244653932036544,0.0109994192013228
-5,0.0082375407013832,0.00414623630045695,-0.000103610843743076,0.0165786922465095
-4,0.0103981462314949,0.00433994206140349,0.00166730895932962,0.0191289835036602
-3,0.00569746061140055,0.00499353058702793,-0.00434822717707231,0.0157431483998734
-2,0.00551522540495555,0.00424850159978007,-0.00303165738596774,0.0140621081958788
-1,0,NA,0,0
0,0.00207399096904079,0.0033120220576138,-0.00458893798662751,0.00873691992470908
1,0.00485356827595913,0.0037211275852291,-0.00263237484400365,0.0123395113959219
2,0.00529139885020166,0.00484199476915002,-0.00444943819416503,0.0150322358945684
3,0.00772547381743494,0.00636786075202031,-0.00508500964319402,0.0205359572780639
4,0.00686029719461742,0.00581337693104225,-0.0048347086991423,0.0185553030883771
5,0.00748913304687211,0.00497286148379544,-0.0025149738692455,0.0174932399629897
6,0.000141949170605594,0.003931753514343,-0.0077677186641976,0.00805161700540879
7,-0.00449641918363538,0.00506759950060924,-0.0146911144063677,0.00569827603909696
8,0.00132003137984255,0.00484709385776427,-0.00843106370767254,0.0110711264673576
