"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000870509322430796,0.00168432112494513,-0.0042589263676138,0.00251790772275221
-15,0.000536952129683535,0.00119039645868769,-0.00185781665365893,0.002931720913026
-14,0.000665509623837365,0.00123706990305871,-0.00182315401846159,0.00315417326613632
-13,-0.00153858505499868,0.00117640228507073,-0.00390520119231974,0.000828031082322378
-12,-0.00144535554214563,0.000909975410856189,-0.00327598994266291,0.000385278858371655
-11,0.000262346642093972,0.00140655537031159,-0.00256727778116603,0.00309197106535398
-10,0.00180824987212133,0.00126831135529053,-0.000743263465340127,0.00435976320958279
-9,-1.97202233885585e-05,0.0016562830192879,-0.00335173187549268,0.00331229142871556
-8,0.00100431817935219,0.00144875526173957,-0.00191020147516848,0.00391883783387286
-7,6.79957220914712e-05,0.00114768047776354,-0.00224083959184217,0.00237683103602511
-6,0.000784153436241608,0.00121937996238674,-0.00166892263572208,0.00323722950820529
-5,0.00181048015860513,0.00142808453765181,-0.00106245536282006,0.00468341568003033
-4,0.00135583430436718,0.00134176752502355,-0.00134345378572961,0.00405512239446398
-3,0.000349596732112087,0.00142580716462552,-0.00251875730573124,0.00321795076995541
-2,0.00167619044896665,0.00118345843060299,-0.000704620822192433,0.00405700172012573
-1,0,NA,0,0
0,-0.00320043285280151,0.00240375824794445,-0.00803617070540344,0.00163530499980041
1,-0.0188799460807205,0.00192997406722585,-0.0227625531022066,-0.0149973390592345
2,-0.0273910388019186,0.0025208768833716,-0.0324623889583221,-0.0223196886455151
3,-0.0280904226574202,0.00231264160107206,-0.0327428574600337,-0.0234379878548066
4,-0.0296517863754746,0.00207096698766424,-0.0338180345671557,-0.0254855381837936
5,-0.0307310981029478,0.00239232212554473,-0.0355438294447982,-0.0259183667610973
6,-0.0300260460319788,0.00258729003345128,-0.035231002213042,-0.0248210898509156
7,-0.0305711540271598,0.00262817993549119,-0.0358583700807591,-0.0252839379735605
8,-0.0310101714777043,0.00239112936429012,-0.0358205032934156,-0.026199839661993
