"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0441247175486321,0.0649216723323463,-0.174730275998702,0.0864808409014378
-15,-0.0236487276282809,0.0460522021695916,-0.116293808479322,0.0689963532227604
-14,-0.0259672460573901,0.0493404687548049,-0.125227466017849,0.0732929739030686
-13,-0.042513009326324,0.0476257721268486,-0.138323704611567,0.0532976859589192
-12,-0.0758661152691609,0.0479962883811345,-0.172422193114146,0.0206899625758246
-11,0.0170711956122342,0.0458417742861652,-0.0751505589404997,0.109292950164968
-10,-0.0651221506188253,0.0477490555253987,-0.161180860111602,0.0309365588739513
-9,-0.0550511843704724,0.0370220324728678,-0.12952990699676,0.0194275382558147
-8,-0.138451669266854,0.0411950080080407,-0.221325335840052,-0.0555780026936561
-7,-0.0577235474142019,0.050576637797104,-0.159470618718872,0.0440235238904684
-6,-0.0476484623082634,0.0442131609416358,-0.136593869414607,0.0412969447980799
-5,-0.0810776927395946,0.0342457187283551,-0.149971192527221,-0.0121841929519685
-4,0.0394737000831593,0.0482069490210245,-0.0575061723057411,0.13645357247206
-3,-0.0209724706066023,0.0381523083469334,-0.0977250150004385,0.0557800737872338
-2,-0.0268037347110748,0.0528619695826924,-0.133148300556128,0.0795408311339781
-1,0,NA,0,0
0,-0.202221422416626,0.059439879356974,-0.32179903585026,-0.0826438089829918
1,-0.671940103083028,0.0406228515889177,-0.753662739407685,-0.590217466758371
2,-0.717491661996471,0.0637634855607115,-0.845767249195577,-0.589216074797365
3,-0.743432873679528,0.0607993746507366,-0.86574543887385,-0.621120308485207
4,-0.787394043301772,0.0574425859963998,-0.902953620764135,-0.671834465839408
5,-0.759530474956422,0.0764956934075851,-0.913419960510312,-0.605640989402532
6,-0.740557328105243,0.0667572468117625,-0.874855586101523,-0.606259070108963
7,-0.744933501014713,0.0540222624446394,-0.853612275017936,-0.63625472701149
8,-0.819580441808357,0.0645396577979457,-0.94941748614274,-0.689743397473975
