"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000387930121770984,0.00145117232494185,-0.00253145203671795,0.00330731228025991
-15,0.000338510657923574,0.000998680037469354,-0.00167057443370669,0.00234759574955383
-14,0.00187894533557232,0.00106321470182501,-0.000259966754882167,0.0040178574260268
-13,0.00046327180861608,0.00082272269759729,-0.00119183277370543,0.00211837639093759
-12,0.000326685739818616,0.000941218053474723,-0.00156680075061035,0.00222017223024758
-11,0.00067993154440714,0.000980810093271316,-0.00129320385650184,0.00265306694531612
-10,0.00166371608435344,0.0011766244561311,-0.000703347003490736,0.00403077917219762
-9,0.000256774782545965,0.000739016540851571,-0.00122993473300157,0.0017434842980935
-8,0.00111400853486325,0.00118137052645384,-0.00126260241493019,0.0034906194846567
-7,-0.000730215199180637,0.00076543611232976,-0.00227007403702622,0.000809643638664949
-6,-0.00113876033827176,0.00115109490735969,-0.00345446459855526,0.00117694392201174
-5,-0.00130239305764844,0.0010234912029366,-0.00336139177604201,0.000756605660745139
-4,-0.000733888556882611,0.00139091357646821,-0.00353204574976047,0.00206426863599525
-3,-0.000399701021324177,0.00106693969675857,-0.00254610683499994,0.00174670479235158
-2,0.000527012189744443,0.00120243019560675,-0.00189196534968967,0.00294598972917855
-1,0,NA,0,0
0,0.000441595008349144,0.000735672414949521,-0.00103838699363822,0.00192157701033651
1,-0.000228991173809324,0.00103728066713455,-0.00231573071599254,0.00185774836837389
2,-0.00059773316752922,0.0012355092306273,-0.00308325714186925,0.00188779080681081
3,-0.00152452887302409,0.00116590121611147,-0.00387001958448233,0.000820961838434162
4,-0.00100562008941602,0.00130854485081232,-0.00363807277982762,0.00162683260099559
5,-0.000564407222954913,0.00140852226411719,-0.00339798852616984,0.00226917408026002
6,0.000952459490883665,0.00159623176391427,-0.00225874461788499,0.00416366359965232
7,0.000888112168727041,0.00133544636876393,-0.00179845939522865,0.00357468373268273
8,0.000703818478537328,0.0013578792177779,-0.00202788215661816,0.00343551911369282
