"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00473152903488722,0.0222851107720185,-0.0401003311581379,0.0495633892279124
-15,-0.00022355780897703,0.0201624229254708,-0.0407851208631005,0.0403380052451464
-14,-0.00661266351865272,0.0192844069272123,-0.0454078862173767,0.0321825591800712
-13,-0.00531234052024791,0.019016419963568,-0.0435684429870572,0.0329437619465614
-12,-0.00754016178886135,0.0191010645932767,-0.0459665472865253,0.0308862237088026
-11,-0.0141975828222445,0.0226807527743916,-0.059825372060377,0.0314302064158879
-10,0.00263050574391741,0.0204508426817627,-0.0385112830188985,0.0437722945067333
-9,-0.0181582285614681,0.0173411989939269,-0.0530442211342008,0.0167277640112645
-8,-0.00904697682133031,0.0194916409955185,-0.0482591006910909,0.0301651470484303
-7,-0.0157512416492483,0.0221677675474194,-0.0603470377233358,0.0288445544248392
-6,-0.0126285195059446,0.0129062523224432,-0.0385925501834225,0.0133355111715333
-5,-0.0279877026305612,0.019616924880191,-0.0674518651668349,0.0114764599057125
-4,-0.0121673275700166,0.0166535282808938,-0.0456699051092351,0.0213352499692018
-3,-0.0193303631271766,0.0182865122503564,-0.0561180806760342,0.017457354421681
-2,-0.00674456167845304,0.0171817251571729,-0.0413097342729076,0.0278206109160016
-1,0,NA,0,0
0,-0.0121569735295065,0.0118596762986948,-0.0360155648193115,0.0117016177602986
1,-0.00238500864945009,0.0132750218134579,-0.0290909078522298,0.0243208905533296
2,-0.0396339552501581,0.0196393469998093,-0.0791432252728715,-0.000124685227444618
3,-0.00776839976794899,0.0197111758483071,-0.0474221707952401,0.0318853712593422
4,-0.0237347073634875,0.0222073439789836,-0.0684101209483415,0.0209407062213665
5,-0.0228166735674071,0.0205922068606575,-0.0642428503760959,0.0186095032412817
6,-0.0175793790638757,0.0197723422415406,-0.0573562010025133,0.0221974428747619
7,-0.0101337635269746,0.01935297372343,-0.0490669248275464,0.0287993977735971
8,-0.0223012179370603,0.0198489067957991,-0.0622320678914154,0.0176296320172949
