"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000306941621904328,0.00113473074994716,-0.00258972544374798,0.00197584219993933
-15,-0.000956554267677789,0.000825257950799157,-0.00261675912157806,0.00070365058622248
-14,-0.00145166096468501,0.000705287372860407,-0.00287051614649032,-3.28057828797009e-05
-13,0.000435140991705529,0.0011288839968195,-0.00183588067999744,0.0027061626634085
-12,0.00112728462327975,0.00146744440713511,-0.0018248327422001,0.0040794019887596
-11,0.0012183878524452,0.00104344299702896,-0.000880748698445578,0.00331752440333597
-10,-8.19364451821643e-05,0.00122616726013572,-0.00254866679900622,0.00238479390864189
-9,-0.00159595441239267,0.000954256671446665,-0.00351567121883884,0.000323762394053498
-8,0.000665290883762523,0.000770303272401363,-0.000884359417185916,0.00221494118471096
-7,0.00238388954343353,0.00150277667901208,-0.000639307184823339,0.0054070862716904
-6,-0.00197803053725978,0.000667753735534861,-0.00332137778022966,-0.000634683294289912
-5,-0.00168156890744935,0.000732532770662375,-0.00315523475982556,-0.000207903055073134
-4,-0.00074172805326728,0.00119917366651012,-0.00315415430118356,0.001670698194649
-3,-0.000992119160098112,0.000608134864373531,-0.0022155287045699,0.000231290384373676
-2,-0.00142812831577086,0.00057828288864448,-0.00259148343125364,-0.000264773200288083
-1,0,NA,0,0
0,-0.000816093263925266,0.00100623220599653,-0.00284037135894816,0.00120818483109763
1,-0.00122180403101459,0.00100620713917,-0.00324603169808702,0.000802423636057827
2,-0.00123424450597805,0.000881364466780293,-0.0030073211111618,0.000538832099205699
3,-0.00129489156515436,0.00119133875072032,-0.00369155599555463,0.00110177286524592
4,-0.00148973241503231,0.00119203721217778,-0.00388780196864384,0.000908337138579219
5,-0.000992733355041983,0.00143165462621895,-0.0038728509682753,0.00188738425819133
6,0.00111878604160354,0.00181929554573269,-0.00254116451419502,0.0047787365974021
7,0.00148558006785667,0.00161313674626888,-0.00175963247879865,0.00473079261451198
8,-0.00189831968606939,0.00110315929580188,-0.00411758993453163,0.000320950562392845
