"rel_week","beta","se","ci_lo","ci_hi"
-16,6.19810748157695e-05,0.00115395396652624,-0.00225947487062423,0.00238343702025577
-15,-0.00103926150971038,0.000690022606690244,-0.00242740794297856,0.000348884923557805
-14,0.000460010800091525,0.00115251319179301,-0.00185854668044647,0.00277856828062952
-13,0.000995949960353926,0.00147150066519038,-0.00196432754378985,0.00395622746449771
-12,0.0012255805053665,0.00110527395243878,-0.000997943883524812,0.00344910489425781
-11,9.22885515970875e-05,0.000686362492769235,-0.00128849468221134,0.00147307178540551
-10,1.85886922317181e-05,0.000993308728450929,-0.00197969071943441,0.00201686810389785
-9,-0.000686807685784416,0.00129689928290874,-0.003295832515439,0.00192221714387017
-8,0.00107639053319108,0.00101708706522307,-0.000969724721908671,0.00312250578829083
-7,0.00231295490025432,0.000786753443097875,0.000730211124457937,0.0038956986760507
-6,-0.00218491903912738,0.000817093764137887,-0.00382869966795952,-0.000541138410295234
-5,-0.000998954605325613,0.00073897391555603,-0.0024855783698392,0.000487669159187973
-4,-0.00101060695318645,0.000803189989869921,-0.00262641679602997,0.000605202889657069
-3,0.000831655132257276,0.000969533088194724,-0.00111879386066558,0.00278210412518014
-2,-0.00115947482839967,0.000661611433448372,-0.00249046535341458,0.00017151569661525
-1,0,NA,0,0
0,0.000720303951928095,0.00132829839089635,-0.00195188773536015,0.00339249563921634
1,0.00244951887138919,0.00149419978370541,-0.000556423369097231,0.00545546111187562
2,-0.000582646078436975,0.000916734107825045,-0.00242687722346653,0.00126158506659258
3,-0.0001197046458907,0.000915567482863172,-0.00196158884422013,0.00172217955243873
4,0.000487727640533788,0.00133101857385616,-0.00218993634901946,0.00316539163008704
5,0.00122098589423609,0.0015792667995305,-0.00195608910836777,0.00439806089683995
6,0.00012458638359631,0.00157543302862074,-0.00304477606674801,0.00329394883394063
7,0.0017531613535837,0.00106798676211419,-0.000395350883888483,0.00390167359105588
8,-0.000437560507464947,0.00117850594525294,-0.00280840866320169,0.00193328764827179
