"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000112756998373856,0.000494050109773963,-0.000881143623271063,0.00110665762001878
-15,-6.12459081428892e-07,0.000524240717432084,-0.00105524874928631,0.00105402383112345
-14,0.000452233879947022,0.000521240254931013,-0.000596366258284528,0.00150083401817857
-13,0.00031283107486462,0.000466188518405195,-0.000625019254646765,0.001250681404376
-12,-0.00033027020028175,0.000506952345032802,-0.00135012677131455,0.000689586370751048
-11,-0.000923246482426424,0.000276891907608636,-0.00148028115088664,-0.000366211813966211
-10,-0.000281181184036655,0.000529081310228297,-0.00134555549088015,0.000783193122806836
-9,-4.78670760904954e-05,0.000560521131606619,-0.00117549014534519,0.00107975599316419
-8,0.000366988598128188,0.000449510191052469,-0.000537309264546471,0.00127128646080285
-7,0.000112163821192196,0.000477548165933377,-0.000848539171473323,0.00107286681385771
-6,-0.00042769988311441,0.000411510021159624,-0.00125555126448702,0.000400151498258198
-5,-0.000192069415139923,0.000364422090729518,-0.0009251920991586,0.000541053268878753
-4,-0.000323794374678259,0.000308752278748117,-0.00094492384254223,0.000297335093185713
-3,0.00076219227686401,0.000470090438691303,-0.000183507703768282,0.0017078922574963
-2,-0.000593629482506402,0.00037239418528913,-0.00134278995212993,0.00015553098711713
-1,0,NA,0,0
0,0.000303558176462654,0.000335585194254788,-0.000371552154627578,0.000978668507552885
1,0.00120406343498037,0.000461365440733159,0.000275915886222686,0.00213221098373805
2,-0.000171583514088626,0.000348364446255592,-0.000872402384164037,0.000529235355986785
3,0.000373577178671947,0.000309956177403962,-0.000249974220892414,0.000997128578236307
4,0.000522935215913555,0.000450770412550092,-0.000383897885404145,0.00142976831723126
5,0.000548228910228834,0.000551673051281618,-0.000561594117367314,0.00165805193782498
6,-0.000294264749173575,0.000421210300686404,-0.00114163057586471,0.00055310107751756
7,0.000474213282710054,0.000431419906169343,-0.000393691620960309,0.00134211818638042
8,0.000171577622024756,0.000456426518053769,-0.000746634095884621,0.00108978933993413
