"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00103652374226558,0.00164177189876393,-0.00226629530078086,0.00433934278531203
-15,-0.000514384676820162,0.00110145624863788,-0.00273022883630579,0.00170145948266547
-14,0.00336596008173635,0.00235656966012862,-0.00137484657697077,0.00810676674044347
-13,0.00214873456306563,0.00219462036252444,-0.0022662721324811,0.00656374125861235
-12,0.00177077724192118,0.0021596179760055,-0.00257381373458817,0.00611536821843052
-11,-0.000737255720828871,0.000994497137484421,-0.00273792590309456,0.00126341446143682
-10,0.000515215661855789,0.00147366278850294,-0.00244941147335155,0.00347984279706313
-9,0.00092162319393748,0.00251322242542529,-0.00413432817930475,0.00597757456717971
-8,0.00191417123246645,0.00200024224672519,-0.00210979713254446,0.00593813959747735
-7,0.00265404392294031,0.00215006766303595,-0.0016713343020494,0.00697942214793001
-6,-0.00188318871339576,0.00149817959145169,-0.00489713729436223,0.00113075986757072
-5,0.000277154020239292,0.00100237614832342,-0.00173936668733934,0.00229367472781792
-4,-0.000873938558543055,0.00104487230119383,-0.00297595049852873,0.00122807338144262
-3,0.00335987241836282,0.00199902212358481,-0.000661641375494845,0.00738138621222049
-2,-0.000535001357282552,0.00152522080023097,-0.00360334983349053,0.00253334711892542
-1,0,NA,0,0
0,0.00287909626596798,0.00300361437527311,-0.00316339646039005,0.008921588992326
1,0.00774019813137482,0.00358039346148258,0.00053737554981717,0.0149430207129325
2,0.000398145325915552,0.00252364403703103,-0.00467877162561231,0.00547506227744342
3,0.00166572662530158,0.00201502741683156,-0.00238798566541471,0.00571943891601786
4,0.00358147638685005,0.00236345665720118,-0.00117318512288588,0.00833613789658599
5,0.00469336541555534,0.00285504798503848,-0.00105025028458911,0.0104369811156998
6,-0.00139866800476808,0.00169423267534839,-0.00480702451745121,0.00200968850791504
7,0.00183402482954543,0.00213012201049426,-0.00245122791815337,0.00611927757724424
8,0.00193512547456214,0.00243958575738559,-0.00297268803028856,0.00684293897941285
