"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00107467657674422,0.000777545950379146,-0.00263889726640847,0.000489544112920018
-15,-0.000910551894940085,0.000635663289161564,-0.00218934148683712,0.000368237696956954
-14,-0.000119836145328093,0.00068343563493841,-0.00149473130066032,0.00125505901000413
-13,-0.0001574007901738,0.000731495311859662,-0.00162897954464527,0.00131417796429767
-12,-0.000777517793133918,0.000495156044320447,-0.00177364326811153,0.000218607681843696
-11,0.00014740577249121,0.000477978968710651,-0.000814163883574779,0.0011089754285572
-10,-0.000218599828532362,0.000579064951185908,-0.001383528250914,0.000946328593849279
-9,-0.000280087851676577,0.000471179899874874,-0.00122797954551,0.000667803842156843
-8,-0.000244658041831505,0.000678298957135485,-0.00160921953432161,0.0011199034506586
-7,-0.000704352196079283,0.000531291033705157,-0.00177317189316531,0.000364467501006747
-6,-0.00139227621946564,0.000425406897914212,-0.00224808451081976,-0.000536467928111513
-5,-0.000575182399008039,0.000472455683515262,-0.00152564063847758,0.000375275840461502
-4,-0.000375287708489489,0.000644989597490041,-0.00167283941269446,0.00092226399571548
-3,0.000102698080394129,0.000743496133388976,-0.0013930232129459,0.00159841937373416
-2,0.000328795519854782,0.000465976129251522,-0.000608627537791483,0.00126621857750105
-1,0,NA,0,0
0,0.00140699974400439,0.000849467663409534,-0.000301908769579931,0.00311590825758871
1,0.00126758578281736,0.000913289372392964,-0.000569715448384396,0.00310488701401912
2,-0.00168002459196733,0.000879039906469305,-0.00344842478499685,8.83756010621969e-05
3,-0.00340234089456654,0.000474176727965303,-0.00435626142888216,-0.00244842036025092
4,-0.00332742843791918,0.000851733999638754,-0.00504089623191356,-0.00161396064392481
5,-0.00350097218730939,0.000708077453115046,-0.00492544028659952,-0.00207650408801927
6,-0.00369774792793679,0.000912097879555005,-0.0055326521847246,-0.00186284367114897
7,-0.00346755652465758,0.000810562964758254,-0.00509819887979067,-0.00183691416952449
8,-0.00315069739766314,0.00108396173718319,-0.00533134713968746,-0.00097004765563883
