"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.018657647861771,0.0383461765349618,-0.0958002047437874,0.0584849090202454
-15,0.0154925244887194,0.0302660995962746,-0.0453950142616862,0.0763800632391251
-14,0.0364758494376463,0.0273996748840666,-0.0186451865896544,0.091596885464947
-13,0.053223523690138,0.0297746196965555,-0.00667528503431899,0.113122332414595
-12,0.024055706286178,0.0304965676368677,-0.0372954743586088,0.0854068869309648
-11,0.031717506317154,0.0253324827072583,-0.0192448754583963,0.0826798880927043
-10,0.0283091785462867,0.0247557581406324,-0.0214929830533189,0.0781113401458923
-9,0.0428312604293477,0.027301697072307,-0.0120926696645895,0.0977551905232849
-8,0.0544687760377809,0.0260062533468642,0.00215094256957397,0.106786609505988
-7,-0.0203034034517583,0.0365772446596081,-0.0938873284140977,0.053280521510581
-6,-0.0276614390604866,0.0264455283849021,-0.0808629799193845,0.0255401017984114
-5,-0.028913447357501,0.0185047315663293,-0.0661401655451797,0.00831327083017763
-4,-0.00168259688990452,0.0162401132437916,-0.0343534906499993,0.0309882968701903
-3,0.00923915967704461,0.0279315090044046,-0.0469517885967239,0.0654301079508132
-2,0.00212501510849405,0.0192975807168404,-0.0366967098365441,0.0409467400535322
-1,0,NA,0,0
0,-0.00452331918043339,0.0304823885939339,-0.0658459752701044,0.0567993369092376
1,-0.0419741248731905,0.0243443812870421,-0.0909487029900178,0.00700045324363684
2,-0.0782580651019062,0.0279207732253913,-0.134427415774087,-0.0220887144297252
3,-0.113954994496058,0.0327026953730763,-0.179744331686238,-0.048165657305877
4,-0.0935338436759924,0.0203675543652346,-0.134508077958128,-0.0525596093938564
5,-0.0783603796933851,0.0296922480616952,-0.138093478062811,-0.0186272813239588
6,-0.0702626968286315,0.0289636723293692,-0.128530089880017,-0.0119953037772456
7,-0.106111738408608,0.0295769035302849,-0.165612793511159,-0.0466106833060571
8,-0.0667380528439417,0.02025042562774,-0.107476654499538,-0.0259994511883456
