"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000853700219876383,0.00106268361801917,-0.00128414346776971,0.00299154390752248
-15,0.000188643391645371,0.000717466668391569,-0.00125471337240867,0.00163200015569941
-14,0.000644216089138158,0.00112623275092855,-0.00162147196379412,0.00290990414207044
-13,0.000340830799236521,0.00136251462936056,-0.00240019508119761,0.00308185667967065
-12,0.000743158636224719,0.000964873816301081,-0.00119791711066522,0.00268423438311466
-11,2.99773410597365e-05,0.000862675646349361,-0.00170550220690929,0.00176545688902876
-10,0.00105625158762375,0.000826714607740188,-0.000606883682059397,0.0027193868573069
-9,0.000416966737138168,0.000757684062035875,-0.00110729698706674,0.00194123046134308
-8,-0.000894275294438373,0.00072035198621113,-0.00234343656924501,0.000554885980368264
-7,-0.000363428352393884,0.00116683973095945,-0.00271080711219456,0.00198395040740679
-6,-0.00128701392616911,0.000775105876643554,-0.00284632582064297,0.000272297968304757
-5,-0.000454273837259885,0.000761277607159423,-0.00198576684177775,0.00107721916725798
-4,0.000942248182883944,0.000960587073391771,-0.00099020374962339,0.00287470011539128
-3,0.00105499621851115,0.000923466535859122,-0.000802778824750331,0.00291277126177262
-2,0.0011150845254793,0.00110820505807354,-0.0011143364873675,0.00334450553832609
-1,0,NA,0,0
0,0.00323984779051963,0.00100731261468263,0.00121339619357152,0.00526629938746774
1,0.00759670639387157,0.00151419314114475,0.00455054270621895,0.0106428700815242
2,0.00708365136550234,0.00168362513242594,0.00369663447666743,0.0104706682543373
3,0.00735747151605157,0.00143445042629894,0.00447172947852906,0.0102432135535741
4,0.00726306343474802,0.00137868709901623,0.00448950274190051,0.0100366241275955
5,0.00819455632203572,0.00158786092608624,0.00500019216685955,0.0113889204772119
6,0.00892076240223768,0.0013480499448307,0.00620883571369059,0.0116326890907848
7,0.0086164730358887,0.00153286501275343,0.00553274638765372,0.0117001996841237
8,0.00792712265273646,0.00146985359240118,0.00497015863165177,0.0108840866738212
