"rel_week","beta","se","ci_lo","ci_hi"
-16,3.33803139448106e-05,0.00155103833339102,-0.00308690633968581,0.00315366696757543
-15,-0.000660144374976492,0.00158476821040294,-0.0038482867887151,0.00252799803876212
-14,0.000796046564479125,0.0013898963758419,-0.0020000642846882,0.00359215741364645
-13,-0.000723211955293148,0.00120623543886574,-0.00314984465675596,0.00170342074616967
-12,0.00149770011136633,0.00124699996813072,-0.00101094024514197,0.00400634046787464
-11,0.00162175620872857,0.00169071062304964,-0.00177951484865369,0.00502302726611082
-10,0.000560072146406548,0.000791649695770722,-0.00103252161925726,0.00215266591207035
-9,0.00141180395835931,0.000845676469733311,-0.000289477657311158,0.00311308557402977
-8,0.00153293834663114,0.0011598330086042,-0.00080034470593902,0.0038662213992013
-7,0.000496068400078074,0.00120224106882502,-0.001922528665347,0.00291466546550315
-6,0.00126056198673662,0.000860593384126248,-0.000470728589957953,0.0029918525634312
-5,0.00117481397132883,0.00100220541530683,-0.000841363265723288,0.00319099120838094
-4,0.00184671088732664,0.00145083623560957,-0.00107199514663631,0.00476541692128959
-3,0.0017494385522111,0.00127718704754136,-0.000819930374938764,0.00431880747936096
-2,0.00168532801889429,0.00110928594614077,-0.00054626746026816,0.00391692349805674
-1,0,NA,0,0
0,0.00511682346904956,0.00170704163044167,0.00168269866246674,0.00855094827563238
1,0.0131518746304297,0.00137987808834137,0.0103759179761054,0.015927831284754
2,0.0114467761839296,0.0017727279083637,0.00788050763085489,0.0150130447370042
3,0.0120533485315607,0.00165481436876511,0.00872429142321376,0.0153824056399076
4,0.0147661739098542,0.00146249056988297,0.0118240223794729,0.0177083254402355
5,0.014716513613295,0.00257592115561533,0.00953442866437008,0.01989859856222
6,0.0128765302130584,0.0021398768205587,0.00857165331874919,0.0171814071073675
7,0.0133840772112544,0.00211671315504678,0.00912579960130207,0.0176423548212068
8,0.0139049150476464,0.00182961523133729,0.0102242039622281,0.0175856261330646
