"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0284554565132209,0.0777678417212468,-0.184904174369177,0.127993261342735
-15,0.0123956822332105,0.0735418250313418,-0.135551386635966,0.160342751102387
-14,-0.000544165288610343,0.075395074329175,-0.152219490852279,0.151131160275058
-13,-0.0256428419974055,0.0776118669367388,-0.181777779060247,0.130492095065436
-12,-0.00171324507176485,0.0908469403694892,-0.184473715561458,0.181047225417929
-11,0.00270634963380112,0.0820445430665507,-0.162345981583626,0.167758680851228
-10,-0.053604699049275,0.0845600636190322,-0.223717604875248,0.116508206776698
-9,0.0475903408547966,0.102020623101581,-0.157648679874608,0.252829361584201
-8,0.0665422492569947,0.0962202993204069,-0.127028025129072,0.260112523643062
-7,0.0768769689467506,0.0942141579808794,-0.112657469630321,0.266411407523822
-6,0.0332386786352193,0.0910529095109238,-0.149936148320876,0.216413505591315
-5,-0.0264002257989892,0.0747335916415568,-0.176744819840845,0.123944368242867
-4,-0.0131337145547267,0.0834718155395101,-0.181057347630137,0.154789918520684
-3,-0.0372724663094922,0.0743251529694822,-0.186795387727362,0.112250455108377
-2,0.0294590279627629,0.057680321429129,-0.0865788115011711,0.145496867426697
-1,0,NA,0,0
0,0.0204813268652415,0.0716125316220763,-0.123584504289643,0.164547158020126
1,0.220792650532129,0.0880729740094901,0.0436126805525696,0.397972620511689
2,0.257266859491225,0.0849340968803711,0.0864014957999334,0.428132223182516
3,0.275223730597646,0.0738424344701172,0.126671913541676,0.423775547653616
4,0.437377155942203,0.121574582943324,0.192800641995319,0.681953669889087
5,0.371069475574616,0.0976694797507871,0.174583826205049,0.567555124944184
6,0.295100321738965,0.0938133947474489,0.106372114794999,0.483828528682931
7,0.242177667335309,0.0836852413125393,0.0738246769856214,0.410530657684996
8,0.214438900371509,0.0904117410129768,0.0325539380588602,0.396323862684157
