"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00893274442543799,0.00911278133560846,-0.027265295831042,0.009399806980166
-15,-0.00163604624057995,0.00748716853249003,-0.0166982865105128,0.0134261940293529
-14,-0.00298080628010194,0.00653840065174812,-0.0161343717662207,0.0101727592060169
-13,-0.0052883089570653,0.00636623721893758,-0.0180955262904163,0.00751890837628573
-12,0.00611379459650217,0.0103694697163401,-0.0147468877377532,0.0269744769307575
-11,-0.002082083613081,0.00804366111069154,-0.0182638425481717,0.0140996753220097
-10,-0.00687080258665853,0.00617657012763256,-0.01929645894831,0.00555485377499291
-9,-0.00560712527561102,0.00770441610653858,-0.0211064112917668,0.00989216074054478
-8,-0.00318473554593605,0.00718106874002712,-0.017631182462127,0.0112617113702549
-7,-0.00959558167783625,0.00627231311779101,-0.0222138480916951,0.00302268473602257
-6,0.000615002836891188,0.00560123461793321,-0.0106532277709107,0.0118832334446931
-5,-0.00457091438269446,0.00621342323340098,-0.017070709630277,0.00792888086488809
-4,-0.00614702750233032,0.00465445452543346,-0.0155105822404577,0.00321652723579701
-3,0.00128538411542336,0.00720558384745903,-0.0132103808355868,0.0157811490664335
-2,0.000888310649890544,0.00501371416077709,-0.00919798125160535,0.0109746025513864
-1,0,NA,0,0
0,0.00635343438406617,0.00469178502651351,-0.00308521963548173,0.0157920884036141
1,-0.00393553136173211,0.00634823014926692,-0.0167065231434931,0.00883546042002892
2,-0.00757490129072684,0.00634489211723652,-0.0203391778182162,0.00518937523676248
3,-0.0135953490597398,0.00459586816069217,-0.022841043234365,-0.00434965488511471
4,-0.00792752919589828,0.00581891376197087,-0.0196336737567548,0.0037786153649582
5,-0.0125258981181666,0.00461638678536418,-0.0218128704413304,-0.00323892579500275
6,-0.00941891591758831,0.00519501613622576,-0.0198699403483135,0.00103210851313693
7,-0.0137556585147586,0.00621300742811789,-0.0262546172700073,-0.00125669975950984
8,-0.00762080190176819,0.00428647498465303,-0.0162440772894839,0.00100247348594748
