"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000288571351230476,0.000506981549350358,-0.00130848667377208,0.000731343971311125
-15,-0.000507544095408274,0.000397129399776294,-0.00130646539813143,0.000291377207314881
-14,0.000220489192375122,0.000513103086880833,-0.000811741075222852,0.0012527194599731
-13,-0.000137475591120526,0.000618654622008648,-0.0013820481582215,0.00110709697598045
-12,8.39464131796419e-05,0.000657641692829727,-0.00123905802380375,0.00140695085016303
-11,-0.000139844619793871,0.000586217687520155,-0.00131916249164314,0.0010394732520554
-10,7.65844167799922e-05,0.000690164295657409,-0.00131184705792379,0.00146501589148377
-9,0.000625022245695989,0.000671530784952139,-0.000725923440608979,0.00197596793200096
-8,-0.000175961284445278,0.000666117959717476,-0.00151601777093194,0.00116409520204138
-7,-2.31121587942011e-05,0.000457092195304569,-0.000942663046598081,0.000896438729009679
-6,-0.000118829204837013,0.000478347056770062,-0.00108113935856474,0.000843480948890714
-5,-0.000124650349372783,0.000646932405512484,-0.0014261104791869,0.00117680978044133
-4,-0.000548690314483181,0.000388164907505174,-0.00132957738491951,0.000232196755953145
-3,9.99523545641516e-05,0.000605636154158772,-0.00111843043333654,0.00131833514246484
-2,0.000409687822630278,0.0004202424907152,-0.000435731021532196,0.00125510666679275
-1,0,NA,0,0
0,0.000218255158228597,0.000546077796547665,-0.000880311668734621,0.00131682198519182
1,-0.00074734993183144,0.000456673764649476,-0.00166605904573428,0.000171359182071402
2,-0.000232225780485899,0.000565650943498921,-0.00137016870015214,0.000905717139180346
3,0.000386587140670689,0.000529794982983211,-0.000679222890567408,0.00145239717190879
4,-9.38345836022311e-05,0.000384140366115315,-0.000866625321075394,0.000678956153870932
5,-0.000790782652772663,0.000459421094767064,-0.00171501868197765,0.000133453376432322
6,-0.00032947385593725,0.000534841753588517,-0.00140543668006554,0.000746488968191041
7,-0.000416661019531512,0.000402149803894089,-0.00122568207261373,0.000392360033550707
8,-0.000207218139308657,0.000541273058033853,-0.00129611907914576,0.000881682800528448
