"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0120708465003629,0.00679037280735379,-0.0257313145802454,0.00158962157951965
-15,-0.00550566219952175,0.00691286720204741,-0.0194125572159142,0.00840123281687075
-14,-0.0060833896297157,0.00607667589431883,-0.018308084715122,0.00614130545569054
-13,-0.00986971990764023,0.00759409379164388,-0.0251470660533539,0.00540762623807346
-12,-0.00543015764375877,0.00781751706585127,-0.0211569734419056,0.0102966581543881
-11,-0.00583846015195241,0.00700631252979259,-0.0199333429199886,0.00825642261608382
-10,-0.00498123572374667,0.00744369503433685,-0.0199560185961712,0.00999354714867786
-9,-0.00436646664192174,0.00728293659471604,-0.0190178452484371,0.0102849119645936
-8,-0.00607754750373917,0.0068176058471733,-0.0197928013931386,0.0076377063856603
-7,-0.00863154810928915,0.00558955508847617,-0.019876282534501,0.00261318631592272
-6,-0.00656794634515722,0.00503376822732005,-0.0166945818247826,0.00355868913446819
-5,0.000599947693162434,0.00798367381042067,-0.0154611323596641,0.016661027745989
-4,-0.00639835450127463,0.00585031980099906,-0.0181676798632199,0.00537097086067064
-3,-0.00243936125891997,0.00557002457991137,-0.0136448053687983,0.00876608285095834
-2,-0.000423872723305033,0.0059823079308386,-0.0124587239533799,0.0116109785067699
-1,0,NA,0,0
0,0.000634273350949174,0.00522862268757641,-0.0098843587406549,0.0111529054425532
1,-0.00562619963095515,0.00514073732331836,-0.0159680291747174,0.0047156299128071
2,-0.0103446395238904,0.00577707042008423,-0.0219666061386437,0.00127732709086286
3,-0.00951352250741921,0.00355206516812639,-0.0166593559135474,-0.00236768910129101
4,-0.0101060612943345,0.00574329959105328,-0.021660089764144,0.00144796717547501
5,-0.0123218198103974,0.00561497405867636,-0.0236176906077783,-0.00102594901301652
6,-0.0105722790511799,0.00441223852418072,-0.0194485580465135,-0.00169600005584636
7,-0.0100700758665097,0.00714045293062982,-0.0244348143134382,0.00429466258041872
8,-0.00864990258399144,0.00585987230414226,-0.0204384451035174,0.00313863993553453
