"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000641813740786125,0.000751243245202994,-0.000869492731254562,0.00215312021282681
-15,-0.000113332449289261,0.000433952744121176,-0.000986332765682037,0.000759667867103514
-14,0.000502098182370963,0.00072996872123221,-0.000966409467887382,0.00197060583262931
-13,-6.75272926725212e-06,0.000839004946081817,-0.0016946129705197,0.0016811075119852
-12,-0.000444139984275804,0.000613295644804382,-0.0016779316798228,0.000789651711271191
-11,0.000814005073928307,0.0007968302895285,-0.000789010702083195,0.00241702084993981
-10,0.000357195064035715,0.00104017867840486,-0.00173537452482922,0.00244976465290065
-9,0.00151776453663418,0.000771156459185226,-3.3602154733133e-05,0.00306913122800149
-8,-0.000201494420840282,0.000871921015986988,-0.00195557325347373,0.00155258441179316
-7,0.000531202047573283,0.000784661575451415,-0.00104733343332935,0.00210973752847592
-6,-0.000271715883532907,0.000730557432243427,-0.0017414078675834,0.00119797610051758
-5,0.0002202164791968,0.000860905209050853,-0.0015117014083318,0.00195213436672539
-4,-0.000583170942115725,0.000681038585699764,-0.00195324385638116,0.000786901972149711
-3,0.000661827520730755,0.00069784111602278,-0.000742047724518665,0.00206570276598018
-2,0.000782439364802641,0.000828768437769306,-0.000884827677958398,0.00244970640756368
-1,0,NA,0,0
0,0.000541099921713774,0.00101623964893847,-0.00150331055171426,0.00258551039514181
1,-0.000595240772189524,0.000633811731666357,-0.00187030551085995,0.000679823966480905
2,-0.000586857698330107,0.000732912035752632,-0.00206128653365383,0.000887571136993621
3,0.000442573281859342,0.000963633767899218,-0.00149600780942158,0.00238115437314026
4,-1.25861884740765e-05,0.000791106570185787,-0.00160408732639462,0.00157891494944647
5,-0.000245627305612241,0.00070311600945416,-0.00166011426768318,0.00116885965645869
6,5.42264393403071e-06,0.000687317522064549,-0.00137728186099957,0.00138812714886764
7,0.000206340597551039,0.000940997816333875,-0.00168670283289906,0.00209938402800114
8,-3.30052152816452e-05,0.000970489015761037,-0.00198537728641785,0.00191936685585456
