"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0148399977508826,0.00826424500051799,-0.0314655142338133,0.00178551873204812
-15,-0.00990872527057833,0.00864767830172321,-0.0273056100598567,0.00748815951870006
-14,-0.00894963064616043,0.00929709622531925,-0.0276529757826793,0.00975371449035838
-13,-0.0148966641151568,0.0115070195623273,-0.0380458015609715,0.00825247333065791
-12,-0.0189708897572295,0.00914391855684512,-0.0373660811722802,-0.000575698342178788
-11,-0.00992145398554222,0.00983927415429603,-0.0297155204274337,0.00987261245634928
-10,-0.00289427770758776,0.0112495187753118,-0.0255253903878461,0.0197368349726705
-9,-0.00277459247433074,0.008658260314292,-0.0201927655270106,0.0146435805783491
-8,-0.00967518423085792,0.00898279503613455,-0.0277462369315804,0.00839586846986459
-7,-0.0076228593254629,0.00818420153720768,-0.024087349130393,0.00884163047946723
-6,-0.0151200483980427,0.00690307463297308,-0.0290072433064949,-0.00123285348959057
-5,0.00682337959019923,0.0134380295813423,-0.0202104489432861,0.0338572081236845
-4,-0.00734508665485819,0.00979091728868449,-0.027041871631082,0.0123516983213656
-3,-0.00730756316891313,0.00738171939840688,-0.0221576671436732,0.00754254080584691
-2,-0.00143850702771798,0.0106834216917225,-0.0229307792702156,0.0200537652147796
-1,0,NA,0,0
0,-0.00651610441239714,0.00901365768340348,-0.0246492447509915,0.0116170359261972
1,-0.00734995406822619,0.00734354265162993,-0.0221232563348126,0.00742334819836025
2,-0.0141913172272935,0.0075305758718521,-0.0293408818004142,0.000958247345827206
3,-0.00223462678335728,0.00766619895881338,-0.0176570298151151,0.0131877762484005
4,-0.0139200538650013,0.00972512606428098,-0.0334844839696447,0.00564437623964206
5,-0.0129089591391333,0.0101734921757319,-0.033375385515166,0.00755746723689944
6,-0.0121578345305353,0.00844259104498998,-0.0291421369765938,0.00482646791552311
7,-0.00509361343301499,0.0114906248498813,-0.0282097689715913,0.0180225421055613
8,-0.0105767207910559,0.013089279157538,-0.0369089539677936,0.0157555123856819
