"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00135044752805546,0.00144073391212643,-0.00424883030858458,0.00154793525247367
-15,-0.000662699642235044,0.00134719071284211,-0.00337289777897999,0.0020474984945099
-14,-0.000402104016725085,0.00127884908461658,-0.00297481653119449,0.00217060849774432
-13,0.000347677045083962,0.00129297251611033,-0.0022534481487143,0.00294880223888223
-12,-0.0003380794649403,0.00101285276582608,-0.00237567640839587,0.00169951747851527
-11,0.0034127663030082,0.00148856323797167,0.000418163329931815,0.00640736927608458
-10,0.000727230238876993,0.00145646987435207,-0.00220280921438397,0.00365726969213796
-9,-5.65558474457124e-05,0.00155878621903863,-0.00319242923652937,0.00307931754163794
-8,0.00122571447244228,0.000874926777631237,-0.000534411172665514,0.00298584011755007
-7,-4.84575637093709e-06,0.00100646716673431,-0.00202959653142917,0.00201990501868729
-6,0.00157981074628385,0.00142310650915867,-0.00128311027354319,0.00444273176611089
-5,0.0017050768541859,0.00212817361857931,-0.00257625623456098,0.00598640994293279
-4,0.00188501382660783,0.00169001601157641,-0.00151485985273243,0.00528488750594809
-3,0.00136311553078133,0.00155914495914637,-0.00177347955031095,0.00449971061187362
-2,0.00137631442152853,0.00167047964390273,-0.00198425715547147,0.00473688599852854
-1,0,NA,0,0
0,0.000836884916412887,0.000979658887123505,-0.00113393455644888,0.00280770438927466
1,-0.00021082198843307,0.00177460096040011,-0.00378085863617372,0.00335921465930758
2,0.000851715295127,0.00131811056049372,-0.00179998112099327,0.00350341171124727
3,0.00169109884131612,0.00275718573501218,-0.00385564340568566,0.0072378410883179
4,0.00253090129413738,0.00163169850061001,-0.000751652685731899,0.00581345527400665
5,0.00236689335889148,0.00160073867703112,-0.000853377489586199,0.00558716420736916
6,0.000994168660390462,0.00150164146800596,-0.00202674431789376,0.00401508163867469
7,0.00309166566941571,0.00146104197461377,0.000152428336825462,0.00603090300200596
8,0.00303363389948872,0.00128278781465083,0.000452997682236779,0.00561427011674066
