"rel_week","beta","se","ci_lo","ci_hi"
-16,0.158233005513034,1.1136638356392,-2.08216965131803,2.3986356623441
-15,0.221825220879483,0.855079705134205,-1.4983732644071,1.94202370616607
-14,-0.305731335249013,0.844532439442627,-2.00471145883478,1.39324878833675
-13,-1.01845430725976,0.874148976235723,-2.77701521778856,0.740106603269045
-12,-0.80591243533096,1.05247615684829,-2.92322135979726,1.31139648913534
-11,-1.21025510554765,0.90462099731038,-3.03011781540757,0.609607604312266
-10,-0.443490356387909,0.749520076192831,-1.95133025951885,1.06434954674303
-9,-0.640965149318366,1.29357064698076,-3.24329362722118,1.96136332858445
-8,0.0449772873667367,1.0517115206357,-2.07079338745243,2.16074796218591
-7,-0.264777490834074,0.570703457400568,-1.41288475741245,0.883329775744298
-6,-0.0220387020031701,0.936040149828164,-1.90510859389017,1.86103118988383
-5,0.0550748388646387,0.802027919243707,-1.55839721942031,1.66854689714959
-4,0.0349904085107177,0.700454048363607,-1.37414137858838,1.44412219560981
-3,0.132184116719016,0.766166443469146,-1.40914395786811,1.67351219130614
-2,-0.00890430405100701,0.618168723301906,-1.25249936903806,1.23469076093604
-1,0,NA,0,0
0,0.187062823802047,0.502711383374038,-0.82426203284464,1.19838768044874
1,0.27854847552293,0.875472238730112,-1.48267449577613,2.03977144682199
2,-0.86368069882655,0.729645239674677,-2.33153758813016,0.604176190477063
3,-1.26763446164085,0.955545568222654,-3.1899441939493,0.654675270667588
4,-0.640658154927423,0.67099286468076,-1.9905216852293,0.709205375374456
5,-0.110245864845553,0.831269727408936,-1.78254485331121,1.5620531236201
6,-0.170120639642645,0.824503085957633,-1.82880690135883,1.48856562207354
7,0.0505673000574453,0.857684813396724,-1.6748719870635,1.77600658717839
8,-0.448055931268711,1.07044979689382,-2.60152315559381,1.70541129305639
