"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00151152443963685,0.00230070886722744,-0.00311690479886192,0.00613995367813562
-15,-0.00183282919451718,0.00159547485959059,-0.00504251060819288,0.00137685221915851
-14,0.00279109585407749,0.00166712268721709,-0.000562722397155152,0.00614491410531014
-13,5.21788939497753e-05,0.00223297261352169,-0.00443998257872084,0.00454434036662039
-12,-0.000478494073170629,0.00193351723111938,-0.00436822902100808,0.00341124087466682
-11,0.00214482457556414,0.0017379820903395,-0.00135154440770858,0.00564119355883686
-10,0.0032858359609271,0.00226040988517455,-0.00126152218271379,0.00783319410456799
-9,-5.85329732932065e-05,0.00183662284515159,-0.00375334155932629,0.00363627561273987
-8,0.000644978862949562,0.00184916755914866,-0.00307506643246458,0.0043650241583637
-7,1.25934163204399e-05,0.00194039564426795,-0.00389097911391816,0.00391616594655904
-6,0.00214886456362284,0.00109800237883815,-6.00313060575277e-05,0.00435776043330321
-5,0.00108878663728406,0.00214570146838996,-0.00322780793704547,0.00540538121161359
-4,-0.000839769058005741,0.0020277499046715,-0.00491907569294507,0.00323953757693358
-3,0.00211435027244192,0.00216415986341703,-0.002239377802982,0.00646807834786585
-2,0.00374119190347065,0.00182465920863692,7.04510497056788e-05,0.00741193275723563
-1,0,NA,0,0
0,0.00195085460299286,0.00209690449234914,-0.00226757311768785,0.00616928232367357
1,0.00139316300979612,0.00165428998771546,-0.00193483917994858,0.00472116519954082
2,-0.00429562279344918,0.00167193177188753,-0.00765911567514732,-0.000932129911751047
3,-0.00327885910806471,0.00227097002762462,-0.00784746151810315,0.00128974330197374
4,-0.00243719033009215,0.00157814623944803,-0.00561201105658002,0.000737630396395722
5,-0.0048855832534771,0.00254539364630307,-0.0100062547751353,0.000235088268181129
6,-0.00419151091206166,0.00227783144204354,-0.00877391670746815,0.000390894883344821
7,-0.00345450641854761,0.00265222867882838,-0.00879010230342263,0.00188108946632742
8,-0.00447887751134678,0.00281428584297773,-0.0101404903588812,0.00118273533618764
