"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000745849274922082,0.00172986109866423,-0.00422588093022999,0.00273418238038583
-15,-0.00254099613419859,0.00187385977781635,-0.00631071576628039,0.00122872349788322
-14,0.000712120963021502,0.00138321021612399,-0.00207053906776003,0.00349478099380303
-13,0.000164943307280665,0.00198561479017231,-0.00382959841077,0.00415948502533134
-12,-0.00080286791485578,0.0021228268857351,-0.00507344476452386,0.0034677089348123
-11,0.00150709397096974,0.00160265757800574,-0.00171703720834044,0.00473122515027991
-10,0.00244676483918917,0.00207019384772271,-0.00171792799554872,0.00661145767392706
-9,-0.000615032815320731,0.00135766797652958,-0.00334630848789879,0.00211624285725733
-8,-0.000698263255059666,0.00237032828084735,-0.0054667486884797,0.00407022217836037
-7,0.000231278965766272,0.00228239655179065,-0.00436031064586809,0.00482286857740063
-6,0.00340373797571245,0.00153513014373153,0.000315454471719928,0.00649202147970498
-5,0.000351836142833622,0.00258936537317058,-0.00485729508322262,0.00556096736888986
-4,-0.00207536289132774,0.00167366361334706,-0.00544233978865337,0.00129161400599789
-3,0.000300651431711131,0.00201091214486535,-0.00374478199966571,0.00434608486308797
-2,0.00158378776587269,0.0019556887184682,-0.00235055046131403,0.0055181259930594
-1,0,NA,0,0
0,0.00162858100307501,0.00201037911837895,-0.00241578011732425,0.00567294212347427
1,0.0037581397290888,0.0020897648945407,-0.000445924973428929,0.00796220443160653
2,-0.000556257203263999,0.00173539472712546,-0.00404742108313531,0.00293490667660731
3,0.00056673535060485,0.00182822833723524,-0.00311118566376008,0.00424465636496978
4,0.00205923380494751,0.00137698866790248,-0.000710910085218698,0.00482937769511372
5,0.00114303452846743,0.002022224190499,-0.00292515580340379,0.00521122486033865
6,0.000988111736340274,0.00298000710454365,-0.00500688928707272,0.00698311275975327
7,0.000527837789625097,0.00215141772874509,-0.00380025641724787,0.00485593199649807
8,-0.000792170328274249,0.00271999580970834,-0.00626409609583971,0.00467975543929121
