"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0676535394562874,0.104474431062467,-0.277828985073519,0.142521906160945
-15,-0.119533728342455,0.0973388741361269,-0.315354285002943,0.0762868283180343
-14,-0.10646666592209,0.0982087145667853,-0.304037115817415,0.0911037839732343
-13,0.0304769842046562,0.122574203193047,-0.216110506296941,0.277064474706253
-12,-0.0282813553328631,0.127841869941061,-0.285466024444268,0.228903313778541
-11,-0.184006269321286,0.137009140015344,-0.459633107041427,0.0916205683988559
-10,-0.0148372542722582,0.100445015951469,-0.21690656226406,0.187232053719544
-9,-0.197900947533197,0.128578597855989,-0.456567722038658,0.0607658269722637
-8,-0.254704543656697,0.113416527996186,-0.482869167953192,-0.0265399193602028
-7,-0.190207538358938,0.0822979404490125,-0.355769639356736,-0.02464543736114
-6,-0.151256289135646,0.125439168888995,-0.403607347198227,0.101094768926936
-5,-0.0938032940307456,0.115971848095382,-0.32710855929634,0.139501971234848
-4,-0.195642839567261,0.108271599059483,-0.413457201881528,0.0221715227470066
-3,-0.0065814663087202,0.11684114336347,-0.241635528083521,0.228472595466081
-2,0.11737078090447,0.0831481931479674,-0.049901807894724,0.284643369703663
-1,0,NA,0,0
0,0.112628362548117,0.0815409244148428,-0.051410818624199,0.276667543720433
1,0.11003540660725,0.13628617779851,-0.16413701873139,0.384207831945891
2,0.150515659424903,0.103891003799824,-0.0584860819312558,0.359517400781062
3,-0.0886977421289987,0.105471954930901,-0.300879946925771,0.123484462667774
4,-0.0822892499039178,0.135768094881541,-0.355419426849021,0.190840927041185
5,-0.194626643612859,0.136314108748162,-0.468855258774502,0.0796019715487836
6,-0.0207890772216343,0.129155147594851,-0.280615720194944,0.239037565751676
7,-0.110471966030919,0.127922725550715,-0.367819295648026,0.146875363586188
8,-0.0761228928485641,0.121376793384995,-0.320301505527766,0.168055719830638
