"group","norm_st_PH","norm_st_XV","norm_st_XNXX","norm_lt_PH","norm_lt_XV","norm_lt_XNXX","n_mach","ey0_st","ey0_lt","frac_st","frac_lt"
"Full sample",-0.411854664558716,0.143852079715663,0.111954141084462,-0.554427005202051,0.228549756280935,0.112812569484671,67245,1.41099252798378,1.37541674246219,0.588145335441284,0.445572994797949
"PH bin 0",-0.343440726883517,0.183417133880265,0.2075880137666,-0.501549294573721,0.21152779652883,0.0951663381525821,59946,0.309429450773324,0.307614280628903,0.656559273116483,0.498450705426279
"PH bin 1 (low)",-0.465436226881161,0.342636683470397,0.0312223273833065,-0.565582445949967,0.428767066622692,0.0563174127781308,2415,1.1252567589789,1.21609721896987,0.534563773118839,0.434417554050033
"PH bin 2 (mid)",-0.457931995805372,0.12855393262807,0.0119841270771522,-0.598261254598628,0.232790108418405,0.161707082132472,2407,3.00904346076919,2.85435925247288,0.542068004194628,0.401738745401372
"PH bin 3 (high)",-0.40560633658384,0.116804704537298,0.0986754958539327,-0.548338054021649,0.211437835241274,0.106290863816126,2477,17.9215298688475,17.5658323094027,0.59439366341616,0.451661945978351
"XXX bin 0",-0.325484623258024,0.0811393956547012,0.0317019382104155,-0.505052948947851,0.0518288696970868,0.0747303731335316,53669,0.285847747801638,0.274159830166558,0.674515376741976,0.494947051052149
"XXX bin 1 (low)",-0.366211079450128,0.204231877486218,0.232071911638275,-0.483558560727817,0.395069917101021,0.425217985918348,4552,0.414488684474631,0.468978049866802,0.633788920549872,0.516441439272183
"XXX bin 2 (mid)",-0.499553416344169,0.138710583182319,0.102777999551652,-0.644049633958585,0.217688127446568,0.0557548834355817,4606,1.79382134351404,1.76748916924581,0.500446583655831,0.355950366041415
"XXX bin 3 (high)",-0.404289700866219,0.148450972248904,0.11560073006143,-0.540442401255834,0.248364190674718,0.104170179628799,4418,10.326501330382,10.107930363913,0.595710299133781,0.459557598744166
"Age 18-34",-0.41516294680073,0.112247286528914,0.0637458630132104,-0.542989009962779,0.148143568068426,0.0809880822246211,20118,1.64948589688193,1.55714391901169,0.58483705319927,0.457010990037221
"Age 35-54",-0.421435326821888,0.190787685371276,0.142086326726964,-0.618229253919089,0.261314057720522,0.161528301718949,32449,1.27679858344182,1.25317884618486,0.578564673178112,0.381770746080911
"Age 55+",-0.384110405008602,0.110342853270942,0.137298509324419,-0.455787504342489,0.306591887962415,0.0734669364056132,14678,1.32024643798125,1.33592676362697,0.615889594991398,0.544212495657511
"Income: low",-0.46930153492972,0.180678679064021,0.0608390662066393,-0.614816424112446,0.223571868153504,0.0743590850362331,21866,0.84471506686695,0.818341863520639,0.53069846507028,0.385183575887554
"Income: mid",-0.460880093888094,0.0775750646052587,0.115444703149278,-0.615867892439551,0.211297615921208,0.17247952303804,22698,1.46502997182842,1.45129858278866,0.539119906111906,0.384132107560449
"Income: high",-0.351670435710423,0.175696999319536,0.133618883994175,-0.482799517339612,0.24467879116156,0.0891439437487584,22681,1.91029562400115,1.84251118749867,0.648329564289577,0.517200482660388
"Kids: no",-0.345897464842577,0.15199032174045,0.0873918009722024,-0.497820368197397,0.231728847906912,0.0798477649824048,29529,1.78277943978173,1.78081209187164,0.654102535157423,0.502179631802603
"Kids: yes",-0.469432981577835,0.137194570041827,0.1326192118089,-0.604990134819848,0.226567338433328,0.141145899047811,37716,1.19112770202076,1.13926184061413,0.530567018422164,0.395009865180152
"VPN user: no",-0.410925020464387,0.139190528811643,0.109860507147925,-0.553104350697046,0.228450869592505,0.110488153160909,66562,1.40332694662612,1.36772915766973,0.589074979535613,0.446895649302954
"VPN user: yes",-0.458707821845181,0.360019786208804,0.206288701152073,-0.618936699332163,0.21108529296939,0.212096165742,683,1.94744378963786,1.91102205669264,0.541292178154819,0.381063300667837
"allVPN user: no",-0.416048815737604,0.15260584032125,0.118678989597716,-0.556439923592834,0.244350633071954,0.13771879158329,65197,1.39667618583603,1.36076322854287,0.583951184262396,0.443560076407166
"allVPN user: yes",-0.334371561393835,-0.00883559358958491,0.00253976258526458,-0.518031855625231,-0.0451627653603197,-0.321552930941696,2048,1.74307519035357,1.71774686917205,0.665628438606165,0.481968144374769
