"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.154082376769073,0.259437758356788,-0.676003826046657,0.367839072508511
-15,-0.154769811075874,0.187437099440763,-0.531844617796851,0.222304995645104
-14,-0.067380723055886,0.209206925874197,-0.488250771589868,0.353489325478096
-13,0.0393928526516309,0.187962530385727,-0.338738984788499,0.417524690091761
-12,-0.0924389390071005,0.20471818905257,-0.504278813821544,0.319400935807343
-11,-0.221159126540671,0.260340770652944,-0.744897202238827,0.302578949157486
-10,-0.0616782250285315,0.175412438979016,-0.414562535134769,0.291206085077706
-9,-0.174637764347806,0.252996141646234,-0.683600352314849,0.334324823619236
-8,-0.267451999950744,0.22421120007293,-0.718506754769428,0.18360275486794
-7,-0.179974148916613,0.224036587177302,-0.630677627898942,0.270729330065716
-6,-0.287654383406823,0.214027177356358,-0.718221527133834,0.142912760320188
-5,-0.183097115050652,0.177202581944858,-0.539582728286642,0.173388498185337
-4,-0.200558989914312,0.188830252047212,-0.580436458175491,0.179318478346867
-3,-0.0654816827968068,0.180366185592446,-0.428331645660033,0.297368280066419
-2,0.158028252391162,0.186553225324965,-0.217268428962027,0.533324933744352
-1,0,NA,0,0
0,-0.0166184911097431,0.128080773657425,-0.274283772506238,0.241046790286752
1,-0.259855826351462,0.160089725499576,-0.581914812970836,0.0622031602679112
2,-0.183870390950086,0.165773486243135,-0.517363629327624,0.149622847427453
3,-0.497415571580753,0.161532020246512,-0.822376080975278,-0.172455062186228
4,-0.391232047558902,0.1519917337827,-0.696999976161587,-0.0854641189562155
5,-0.659689049567618,0.191399666237918,-1.04473551245279,-0.274642586682444
6,-0.46306768472903,0.252990959596102,-0.972019847755879,0.0458844782978189
7,-0.55519386606989,0.224723437132037,-1.00727910893301,-0.103108623206767
8,-0.543936545287119,0.238718670636929,-1.02417656639114,-0.0636965241830961
