"state","beta_lt","se_lt","beta_pre","se_pre","law_date","ci_lo","ci_hi","label"
"LA",0.00291652322508456,0.000301162246433955,-0.00164333000931079,0.000324296583948665,2023-01-01,0.00232624522207401,0.00350680122809511,"LA (Jan'23)"
"UT",0.00832653114225072,0.000280449725354111,0.00124630250559053,0.000324890949366185,2023-05-01,0.00777684968055666,0.00887621260394478,"UT (May'23)"
"MS",0.00994590006545789,0.000307479415643249,0.00183592245087474,0.000281643988366411,2023-06-29,0.00934324041079712,0.0105485597201187,"MS (Jun'23)"
"VA",0.00513976774654674,0.000307975166921319,-0.00043130720975764,0.000282044135276047,2023-06-29,0.00453613641938096,0.00574339907371253,"VA (Jun'23)"
"AR",0.00260578229184269,0.00029105744417903,-0.00543417207680463,0.000352453093155283,2023-07-28,0.00203530970125179,0.00317625488243359,"AR (Jul'23)"
"MT",0.00905338388709494,0.000275046894733066,-0.00567828900581216,0.000234985402499094,2023-12-28,0.00851429197341813,0.00959247580077175,"MT (Dec'23)"
"NC",0.00805732284155587,0.000273329712844016,0.000481911665537837,0.000236624710940805,2023-12-28,0.00752159660438159,0.00859304907873014,"NC (Dec'23)"
"TX",0.00542561266252838,0.0002706853762568,-0.000660824942609022,0.000309569317399726,2024-03-14,0.00489506932506505,0.0059561559999917,"TX (Mar'24)"
"ID",0.00486882440512444,0.000314789029137767,-0.00108828263435758,0.000234100464650546,2024-06-28,0.00425183790801442,0.00548581090223446,"ID (Jun'24)"
"IN",0.00281105757486726,0.0003126459512455,0.000876210905247319,0.000231720093264258,2024-06-28,0.00219827151042608,0.00342384363930844,"IN (Jun'24)"
"KS",0.00211706063049431,0.000314347824887766,0.00023890398286406,0.000231081135959692,2024-06-28,0.00150093889371429,0.00273318236727433,"KS (Jun'24)"
"KY",0.00170153923758099,0.00030191107611875,-0.00473371221886431,0.000223500928841233,2024-07-10,0.00110979352838824,0.00229328494677374,"KY (Jul'24)"
"NE",-0.00104517222579171,0.000263166180631482,0.00143034005271714,0.000232923191603516,2024-07-15,-0.00156097793982942,-0.000529366511754005,"NE (Jul'24)"
"AL",0.00486897861452153,0.000352719839414134,-0.000983364483054018,0.000155563366484657,2024-09-26,0.00417764772926983,0.00556030949977323,"AL (Sep'24)"
"OK",0.00756674551019485,0.000255421883315165,7.1345651857581e-05,0.0002643967178091,2024-11-01,0.00706611861889713,0.00806737240149258,"OK (Nov'24)"
