"state","beta_lt","se_lt","beta_pre","se_pre","law_date","ci_lo","ci_hi","label"
"LA",-0.0611779507714039,0.0135576210809622,0.0445962932231427,0.0171299326859858,2023-01-01,-0.0877508880900899,-0.0346050134527181,"LA (Jan'23)"
"UT",0.0433767438375349,0.0157471372069786,0.0338986289001863,0.0100816368570138,2023-05-01,0.0125123549118569,0.0742411327632128,"UT (May'23)"
"MS",0.651608390541065,0.0182218884005471,0.0729838475716899,0.0150896816084405,2023-06-29,0.615893489275993,0.687323291806138,"MS (Jun'23)"
"VA",0.141877634858058,0.0182560687622165,-0.0252783597615491,0.0151642557093955,2023-06-29,0.106095740084113,0.177659529632002,"VA (Jun'23)"
"AR",-0.0764783653083736,0.0198510311753305,-0.121374193388462,0.010673235684514,2023-07-28,-0.115386386412021,-0.0375703442047259,"AR (Jul'23)"
"MT",-0.0549281296521619,0.0100935347590472,-0.130549665949492,0.0109214814736302,2023-12-28,-0.0747114577798943,-0.0351448015244294,"MT (Dec'23)"
"NC",0.115514878294766,0.010127145892397,0.00656481802302114,0.0110060134146771,2023-12-28,0.0956656723456679,0.135364084243864,"NC (Dec'23)"
"TX",0.0742577328547401,0.00953041266334459,-0.0416325149124173,0.0144126625276055,2024-03-14,0.0555781240345847,0.0929373416748955,"TX (Mar'24)"
"ID",0.051712631216569,0.00598680941275764,-0.00979404956930596,0.00467212397929482,2024-06-28,0.039978484767564,0.0634467776655739,"ID (Jun'24)"
"IN",0.0160658022147955,0.00587144411516157,0.0178298201135795,0.00470473956552729,2024-06-28,0.00455777174907885,0.0275738326805122,"IN (Jun'24)"
"KS",-0.142000368921859,0.00597378476159175,0.0358855136118838,0.0047107954316901,2024-06-28,-0.153708987054579,-0.130291750789139,"KS (Jun'24)"
"KY",0.0164090364600579,0.0053437674004804,-0.0326719762405001,0.00467765181004578,2024-07-10,0.00593525235511633,0.0268828205649995,"KY (Jul'24)"
"NE",-0.017974092698026,0.00516966395469179,0.0166892198301857,0.00501312289610579,2024-07-15,-0.0281066340492219,-0.00784155134683012,"NE (Jul'24)"
"AL",0.0775148511385511,0.00670008311828471,0.0675130452109114,0.00527694247106167,2024-09-26,0.064382688226713,0.0906470140503891,"AL (Sep'24)"
"OK",0.0183857696468089,0.00400805607604302,0.0160708980895962,0.00543556494690736,2024-11-01,0.0105299797377646,0.0262415595558533,"OK (Nov'24)"
