"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00119888788101766,0.000411183819499988,-0.00202608302929593,-0.00037169273273939
-15,-0.002218092952262,0.000648594125062209,-0.00352289603061676,-0.000913289873907244
-14,-0.00141301571340649,0.0011137044758642,-0.00365350012782466,0.00082746870101169
-13,-0.000912747844771742,0.000734215248223653,-0.00238979840542142,0.000564302715877936
-12,-0.000771401784036473,0.000843088314381169,-0.00246747670272921,0.000924673134656263
-11,-0.00139083217992587,0.000782961658938127,-0.00296594786990877,0.000184283510057023
-10,-0.00131762414947742,0.000863009075848661,-0.00305377447107866,0.000418526172123813
-9,-0.0012630843940399,0.000945311968164949,-0.00316480677851095,0.000638637990431153
-8,-0.00107421109916571,0.00110803707287562,-0.00330329416938414,0.00115487197105272
-7,-0.00221523869602113,0.0010283427161856,-0.00428399740017062,-0.000146479991871641
-6,-0.00112050138275836,0.000769375664608929,-0.00266828557752991,0.000427282812013187
-5,-0.00108538658128669,0.00108258840789885,-0.00326327354115102,0.00109250037857764
-4,-0.000738718065874713,0.000665375028120878,-0.00207727996676957,0.000599843835020139
-3,-0.000428759547319803,0.000826231838633412,-0.00209092361083207,0.00123340451619247
-2,-0.00147446105340036,0.000909754018340665,-0.00330465006962472,0.000355727962824013
-1,0,NA,0,0
0,-0.00102953035487735,0.000813289605602761,-0.00266565800386372,0.000606597294109029
1,-0.00461489184457597,0.00144999293678966,-0.00753190138013774,-0.0016978823090142
2,-0.00386868152987134,0.0018884291023464,-0.00766771086236792,-6.96521973747566e-05
3,-0.00631573340642104,0.00200390889944471,-0.0103470781252576,-0.00228438868758449
4,-0.00498071968787779,0.00187717797536754,-0.00875711467240589,-0.00120432470334969
5,-0.00573536259522111,0.00130869685069524,-0.00836812106995527,-0.00310260412048694
6,-0.00490542910141938,0.00197205660875341,-0.00887269527661715,-0.000938162926221607
7,-0.00471540699900014,0.0023505169055916,-0.00944403708618549,1.32230881852019e-05
8,-0.00495673288310126,0.00196148341184695,-0.00890272852972265,-0.00101073723647987
