"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0196491263129129,0.0182071844642288,-0.0562772569405532,0.0169790043147275
-15,-0.0486207497875238,0.0130348265864793,-0.074843438520986,-0.0223980610540616
-14,-0.0391429768975991,0.0192884488768798,-0.0779463309502235,-0.000339622844974713
-13,-0.0225507778976992,0.01834521526169,-0.0594565906727345,0.0143550348773361
-12,-0.0413241188184718,0.0176413783104105,-0.0768139942835582,-0.00583424335338544
-11,-0.0463742657945182,0.015969588938491,-0.0785009348496912,-0.0142475967393452
-10,-0.0244858291193178,0.0161642425010929,-0.057004090632519,0.00803243239388344
-9,-0.0279970834548612,0.0222641325048642,-0.0727867408179443,0.0167925739082219
-8,-0.000855403996100887,0.0201739157250098,-0.0414400875806732,0.0397292795884714
-7,-0.000612015258085935,0.016656938661381,-0.0341214535978978,0.0328974230817259
-6,-0.0152135486575375,0.0179441150772829,-0.0513124519415366,0.0208853546264616
-5,-0.00530532302025086,0.017409038440497,-0.0403277909560776,0.0297171449155759
-4,0.0136015975668093,0.0159703392459158,-0.0185265809122079,0.0457297760458266
-3,0.0364561005374269,0.0321904797034728,-0.0283027916384452,0.101214992713299
-2,0.014235220892094,0.024534877962393,-0.0351225871042676,0.0635930288884555
-1,0,NA,0,0
0,-0.0212286881190276,0.0396250174723294,-0.100943941125362,0.0584865648873074
1,0.00835071415925449,0.0294031050104059,-0.0508007034196297,0.0675021317381387
2,-0.00520392732814938,0.0320690584479849,-0.0697185514451284,0.0593106967888297
3,-0.023606478541315,0.0150110765346526,-0.0538048693607738,0.00659191227814385
4,-0.0161734600293905,0.0365916257590731,-0.0897863160321555,0.0574393959733745
5,-0.0571179594626715,0.0258147625057338,-0.109050563047768,-0.0051853558775747
6,-0.0422088298423214,0.0301102729460258,-0.102782885807303,0.0183652261226601
7,-0.0683086072434711,0.0315817675957997,-0.131842928611139,-0.00477428587580292
8,-0.0340442101665074,0.0329371965552441,-0.100305302885373,0.0322168825523576
