"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000719221586785733,0.000408271872082149,-0.000102115478898222,0.00154055865246969
-15,0.000432525590543794,0.00103918394434157,-0.00165804285150565,0.00252309403259324
-14,0.000415292096267948,0.000638594447489398,-0.00086939422558935,0.00169997841812525
-13,0.000419559469892969,0.000418460417562524,-0.000422274305509836,0.00126139324529577
-12,0.000459726290488053,0.00068716921998432,-0.000922679869142485,0.00184213245011859
-11,0.000816023405956456,0.000850456631757415,-0.000894874655320093,0.002526921467233
-10,7.80010727908494e-05,0.000255709725206978,-0.000436420541162733,0.000592422686744432
-9,0.000320835527375233,0.000762368709302664,-0.00121285249152881,0.00185452354627927
-8,0.000101507453536656,0.00029686644329937,-0.000495710797615547,0.00069872570468886
-7,0.000283239945151144,0.000771534861805406,-0.00126888799409769,0.00183536788439997
-6,0.000348202585514824,0.000452402862877798,-0.000561914582263774,0.00125831975329342
-5,0.000333905504155056,0.000543773802478317,-0.000760026284595461,0.00142783729290557
-4,0.000301805793587944,0.000490997463735456,-0.000685953696347233,0.00128956528352312
-3,-5.69557506310758e-05,0.000846325295052645,-0.00175954263448278,0.00164563113322063
-2,-0.000362279628840948,0.000280106045442854,-0.000925780308598968,0.000201221050917073
-1,0,NA,0,0
0,-0.000831597596910269,0.000611503337008332,-0.00206178363425088,0.000398588440430339
1,-0.000202383981352543,0.000431007393803734,-0.00106945901718459,0.000664691054479507
2,-2.28162020093775e-05,0.000496071194366525,-0.00102078272141083,0.000975150317392074
3,0.000731282696435105,0.000418751552527433,-0.000111136766971571,0.00157370215984178
4,0.000222964348620743,0.000268109018832853,-0.000316401426661644,0.00076233012390313
5,0.000344846484247791,0.000412164936947054,-0.000484322417747471,0.00117401538624305
6,0.000578388645640948,0.000363122902175846,-0.000152120408129333,0.00130889769941123
7,0.000265609590471208,0.000352551586923193,-0.000443632720121901,0.000974851901064317
8,0.000690025455714734,0.000480341777869096,-0.000276297559261511,0.00165634847069098
