"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000577459411319481,0.00226730171969434,-0.00513868213767776,0.0039837633150388
-15,-0.000434528166761104,0.00176087971042498,-0.00397696122002777,0.00310790488650556
-14,-0.000899191053958794,0.00193243343913887,-0.00478674569356061,0.00298836358564302
-13,-0.000484186167297768,0.00115605473157866,-0.00280986830690355,0.00184149597230801
-12,0.000736713954058298,0.00209977975353496,-0.00348749804603748,0.00496092595415407
-11,0.000865857398797011,0.00161718426939657,-0.00238749771411454,0.00411921251170856
-10,-0.00111608447020405,0.00118520276895473,-0.00350040489749498,0.00126823595708689
-9,-0.000797723973224167,0.00159400803716064,-0.00400445452079109,0.00240900657434275
-8,0.00128482844243453,0.00227059096149245,-0.00328301138490845,0.00585266826977751
-7,-0.00171520627250501,0.00103587015585241,-0.00379910823199687,0.00036869568698686
-6,-0.00248901498511101,0.000969935307965986,-0.00444027313984314,-0.000537756830378875
-5,-0.000837046565138653,0.00116520980824465,-0.00318114634337971,0.0015070532131024
-4,-2.61888571521066e-05,0.000969430374224262,-0.00197643121621926,0.00192405350191505
-3,-0.000705599220517746,0.00119587335623329,-0.00311138610054224,0.00170018765950675
-2,0.000590718344225339,0.00112354806635022,-0.00166956881997414,0.00285100550842482
-1,0,NA,0,0
0,-0.000324786690796846,0.00127518701508738,-0.00289013207163026,0.00224055869003657
1,-0.00190615284535603,0.0012525566179066,-0.00442597173933907,0.000613666048627019
2,-0.00273583217381174,0.00134063439133801,-0.00543284069296586,-3.88236546576284e-05
3,-0.000672512384979949,0.00140156137749711,-0.00349209019056979,0.00214706542060989
4,-0.00142584313879013,0.00131994503111617,-0.00408123003378282,0.00122954375620256
5,0.000295452232153808,0.00119585901563926,-0.0021103057983167,0.00270121026262431
6,0.000869561491871753,0.000967093479458449,-0.00107597964131869,0.0028151026250622
7,-0.00108554745957888,0.00104590852975527,-0.00318964402254309,0.00101854910338532
8,-0.00038009449832113,0.00171415859157206,-0.00382853678394459,0.00306834778730233
