"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000109082984002232,0.000410150456781763,-0.000934199274634873,0.000716033306630409
-15,0.000103818550277995,0.000458173053158239,-0.000817906743059697,0.00102554384361569
-14,0.000232864565180286,0.00028137919084701,-0.000333197352767143,0.000798926483127715
-13,-0.000421647346457166,0.000274513976245229,-0.000973898234054744,0.000130603541140411
-12,1.0970554874116e-05,0.000455801987678084,-0.000905984769976442,0.000927925879724674
-11,7.7550687420986e-05,0.000283432563689074,-0.000492642083862617,0.000647743458704589
-10,-0.000218901877990888,0.00041984615927544,-0.00106352340613913,0.000625719650157356
-9,-6.06741001674847e-05,0.00055003536093305,-0.00116720251974048,0.00104585431940551
-8,-0.000228589689307115,0.000419532571704364,-0.00107258036063402,0.000615400982019792
-7,-0.000515299837697634,0.000205510365765169,-0.000928733366498846,-0.000101866308896421
-6,-8.67911582493031e-06,0.000398079601253449,-0.000809511977355884,0.000792153745706023
-5,-0.000149489042931078,0.000326671229623555,-0.000806666790234704,0.000507688704372548
-4,-0.000356123842805595,0.00023518019007368,-0.000829245359203484,0.000116997673592295
-3,0.000110468256428231,0.000381659368408117,-0.000657331357442892,0.000878267870299354
-2,7.70006442662215e-05,0.000366000244118837,-0.000659296874862628,0.000813298163395071
-1,0,NA,0,0
0,-0.000383257905593157,0.000359548762227555,-0.00110657671722772,0.000340060906041407
1,-0.000274191977689232,0.000371723870469911,-0.00102200394783399,0.000473619992455523
2,-0.000187181163181829,0.000320193415633312,-0.000831327229640876,0.000456964903277219
3,-0.000117479045840202,0.000309937071492576,-0.000740992009268576,0.000506033917588172
4,-0.000504761579797377,0.000366169445083371,-0.00124139948736154,0.000231876327766788
5,4.19820411843999e-05,0.000376069013454724,-0.000714571229140852,0.000798535311509652
6,0.000136582465536854,0.000271370354699929,-0.00040934427123821,0.000682509202311918
7,0.000131158508905022,0.000454688780151796,-0.000783557331264712,0.00104587434907476
8,-0.000588569428582716,0.000333592813917943,-0.00125967160743056,8.25327502651254e-05
