"rel_week","beta","se","ci_lo","ci_hi"
-16,-2.70692105396451e-05,0.00281004715373324,-0.00568015491519581,0.00562601649411652
-15,0.00287508555966613,0.00292890514655837,-0.00301711158453696,0.00876728270386922
-14,0.00421258170626047,0.00273044036822389,-0.00128035580281875,0.00970551921533969
-13,-6.44393811766448e-05,0.00237966570012456,-0.00485170927925032,0.00472283051689703
-12,0.00257921271048434,0.0037042046703957,-0.00487268589609771,0.0100311113170664
-11,0.00129950507518342,0.00350707696827621,-0.0057558237466664,0.00835483389703323
-10,-0.00102853181195971,0.00324137365667134,-0.00754933451722184,0.00549227089330243
-9,0.00122931176274734,0.00393941245368326,-0.00669576387061887,0.00915438739611354
-8,-0.0011488131708109,0.00273163464205687,-0.00664415324894441,0.00434652690732262
-7,-0.000760881276954765,0.00233984642709672,-0.00546804513025107,0.00394628257634154
-6,0.000962405474845748,0.00366048134953419,-0.00640153315576438,0.00832634410545588
-5,0.00105334943201738,0.00303045019204282,-0.0050431299941553,0.00714982885819007
-4,0.0028069633044939,0.00333081046690555,-0.00389376305533516,0.00950768966432295
-3,0.000829939662433289,0.00236358727580251,-0.0039249846180348,0.00558486394290137
-2,0.00382108865125352,0.00266121124350275,-0.00153257782289413,0.00917475512540117
-1,0,NA,0,0
0,0.000443375102428967,0.00278649120764327,-0.00516232215113877,0.00604907235599671
1,0.00174982910970666,0.00245787041267251,-0.00319476837696433,0.00669442659637765
2,0.00201106792047827,0.00209552910167742,-0.00220459287106594,0.00622672871202248
3,-0.000105141683231873,0.00270761874479429,-0.00555216800786868,0.00534188464140494
4,-0.00145804012842191,0.00332789654027837,-0.00815290442400103,0.00523682416715721
5,0.00162658341648117,0.00444422258015138,-0.007314039200042,0.0105672060330043
6,0.00368000182618607,0.00230105167877231,-0.000949117060186083,0.00830912071255823
7,-0.00169134045034701,0.00301355683900648,-0.00775383483380376,0.00437115393310975
8,-0.000966823022753456,0.00293771004908993,-0.00687673334609873,0.00494308730059182
