"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000280432019717072,0.00113787042953701,-0.00202511246851451,0.00258597650794866
-15,0.000702373494968919,0.00121005540847687,-0.00174943165353452,0.00315417864347236
-14,0.00103600575845712,0.00102585999119776,-0.00104258402383088,0.00311459554074512
-13,-0.00181055756338211,0.00116895869493706,-0.00417909286065593,0.000557977733891714
-12,-0.000594755389327795,0.000748401633718565,-0.00211116113888702,0.000921650360231434
-11,-0.00191450304682386,0.00100940248371517,-0.00395974675149039,0.000130740657842668
-10,-4.99970574227987e-05,0.000774951471660488,-0.0016201978885146,0.001520203773669
-9,0.000536544253114085,0.00123777813670028,-0.00197143247837024,0.00304452098459841
-8,-0.000981766649638949,0.000994262833421432,-0.00299633450898742,0.00103280120970952
-7,-0.00142059015471555,0.000832359582288663,-0.00310711086687889,0.000265930557447801
-6,0.000806368785274139,0.000998605753598275,-0.00121699866620419,0.00282973623675247
-5,0.00166214611466824,0.00115372146494692,-0.000675515622042114,0.00399980785137859
-4,0.000782276947386973,0.00083185588561018,-0.000903223178362779,0.00246777707313672
-3,0.000371307264479731,0.000893556885678242,-0.00143921096256929,0.00218182549152875
-2,0.0010484216206295,0.000909757231627383,-0.000794921625280131,0.00289176486653913
-1,0,NA,0,0
0,-0.00441901239907659,0.00290775694346304,-0.010310687602242,0.00147266280408878
1,-0.0198569138395352,0.00208760516226976,-0.0240868036851069,-0.0156270239939636
2,-0.0266869735854189,0.00179341508550592,-0.0303207777147537,-0.0230531694560841
3,-0.0264889909900365,0.00185339150718481,-0.0302443188929365,-0.0227336630871365
4,-0.0278075969834658,0.00172601510505175,-0.0313048357803961,-0.0243103581865356
5,-0.0292280488497027,0.00205532195233949,-0.0333925266986312,-0.0250635710007741
6,-0.0279386805584407,0.00193008386965922,-0.0318494019481582,-0.0240279591687231
7,-0.0291162372045746,0.00195152596208203,-0.0330704044003508,-0.0251620700087984
8,-0.0281244806802508,0.00151359567094863,-0.0311913168208005,-0.0250576445397012
