"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0383621861703767,0.0236632510062527,-0.00958411466925857,0.0863084870100119
-15,0.0611370560775457,0.0302608741660722,-0.000177299082421992,0.122451411237513
-14,0.0417226424622466,0.0321050120826538,-0.0233282910450851,0.106773575969578
-13,0.019353173939445,0.0265058364515384,-0.0343527521049442,0.0730590999838343
-12,0.021822285801919,0.0300768035145259,-0.0391191067912208,0.0827636783950589
-11,-0.00841314975372143,0.0331975187428307,-0.0756777120217125,0.0588514125142696
-10,0.0117182715425999,0.0197735191427714,-0.0283466839120454,0.0517832269972451
-9,0.00828107175359682,0.0294919662155293,-0.0514753279122178,0.0680374714194114
-8,0.025696861523925,0.0444503124865447,-0.0643680266156006,0.115761749663451
-7,-0.0131308807970887,0.0338713464809272,-0.0817607477493909,0.0554989861552136
-6,0.0173165010620293,0.0375326218649237,-0.0587318144784006,0.0933648166024593
-5,0.0128749868696538,0.0356814491242135,-0.0594224964157842,0.0851724701550919
-4,0.0374108030622191,0.0260128724151071,-0.0152962829670087,0.0901178890914469
-3,0.00781971018513739,0.0325011441346149,-0.058033863100242,0.0736732834705168
-2,0.0192327498775222,0.0365722870586504,-0.0548697425164523,0.0933352422714968
-1,0,NA,0,0
0,-0.193230062512584,0.0582206864945586,-0.311196378680239,-0.0752637463449283
1,-0.639225525206974,0.0409688735214736,-0.722236347954977,-0.556214702458971
2,-0.65682245154592,0.0510199301454371,-0.760198649470876,-0.553446253620963
3,-0.628862964061296,0.0485120034893634,-0.727157619897886,-0.530568308224706
4,-0.630315231773845,0.0500408288509683,-0.731707582035406,-0.528922881512283
5,-0.634846396477231,0.0657795482288001,-0.768128421319885,-0.501564371634576
6,-0.615321210066649,0.0578235448418882,-0.732482840810908,-0.498159579322389
7,-0.619324497996499,0.0499633428218519,-0.720559846649875,-0.518089149343123
8,-0.600460491840786,0.0308833067599519,-0.663036015231216,-0.537884968450355
