"rel_week","beta","se","ci_lo","ci_hi"
-16,-5.49971802674132e-06,0.00103842895499125,-0.0020945493174127,0.00208354988135922
-15,0.000192951035118932,0.000979786018939517,-0.00177812419396769,0.00216402626420556
-14,0.000754514751537497,0.000972012004889672,-0.00120092117853075,0.00270995068160574
-13,-0.00218934484079275,0.00115284182227429,-0.00450856344058398,0.000129873758998481
-12,-0.0011515521144902,0.000740933767878195,-0.00264211859332121,0.000339014364340815
-11,-0.001898656949436,0.000971102936432122,-0.00385226406965844,5.49501707864395e-05
-10,-8.31841679282685e-05,0.000601889914580337,-0.00129403049389488,0.00112766215803834
-9,-1.63227455408921e-06,0.00123741015634548,-0.00249098041817498,0.0024877158690668
-8,-0.000719893350922332,0.000915233055402726,-0.00256110476798067,0.00112131806613601
-7,-0.000919976798594194,0.000812949082522131,-0.00255541940350341,0.00071546580631502
-6,0.00105991507872656,0.000867959485672096,-0.000686194182876044,0.00280602434032917
-5,0.00159699733334656,0.00105769879444085,-0.000530818182753232,0.00372481284944636
-4,0.000356833686670305,0.000685899107159783,-0.0010230173355341,0.00173668470887471
-3,0.000494463118886235,0.000921864281105122,-0.00136008860357331,0.00234901484134577
-2,0.0011851322622539,0.000816244744865325,-0.000456940360110686,0.0028272048846185
-1,0,NA,0,0
0,-0.00426569474236838,0.0030518010587011,-0.0104051265720008,0.00187373708726402
1,-0.0197546122795882,0.00201402428645899,-0.0238063065322934,-0.015702918026883
2,-0.0263351737420813,0.00174938761554642,-0.0298544876824931,-0.0228158598016695
3,-0.0265549224460444,0.0017485425818632,-0.0300725363979603,-0.0230373084941286
4,-0.0278256939192304,0.00157870082630625,-0.0310016303305694,-0.0246497575078915
5,-0.0293588899751785,0.0020040249105674,-0.0333904680782906,-0.0253273118720664
6,-0.0281169154009729,0.00180608068572411,-0.031750281087509,-0.0244835497144369
7,-0.0288906434496273,0.00191677608796583,-0.0327466995615366,-0.025034587337718
8,-0.0280105958543725,0.00138961750282298,-0.0308061456833895,-0.0252150460253555
