"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0121897418880779,0.0188054055009957,-0.0502931127784015,0.0259136290022458
-15,-0.0214027396409433,0.00961383035124248,-0.0408822102394713,-0.00192326904241527
-14,-0.0139106190384974,0.0152272532784165,-0.0447639648638603,0.0169427267868654
-13,-0.0238791872133298,0.0126571408509101,-0.0495249906089417,0.00176661618228208
-12,-0.0262089107482516,0.0127735088207731,-0.0520904980473379,-0.000327323449165386
-11,-0.0115580019465126,0.0093589905197061,-0.030521117999102,0.0074051141060768
-10,-0.00644277145013114,0.0149033805791418,-0.0366398888532427,0.0237543459529804
-9,-0.0182040159005766,0.0198768303942972,-0.0584782998344096,0.0220702680332563
-8,-0.00174977319466604,0.0114984106444142,-0.0250477661791917,0.0215482197898596
-7,0.00837958921301184,0.019375307846945,-0.0308785135153369,0.0476376919413606
-6,0.00358109579826746,0.017169930800863,-0.0312084885811725,0.0383706801777074
-5,-0.0140621800744747,0.0168565339394589,-0.0482167620954006,0.0200924019464512
-4,-0.0114772675533995,0.0113746700762728,-0.0345245383313861,0.0115700032245871
-3,-0.0130948468028664,0.0130394192663904,-0.0395152198427032,0.0133255262369704
-2,-0.00798728706642739,0.0122341723410145,-0.0327760748551902,0.0168015007223354
-1,0,NA,0,0
0,-0.0193233480903672,0.0114177762640923,-0.0424579603012237,0.00381126412048929
1,-0.0371143192048771,0.0147191000706181,-0.0669380488305347,-0.00729058957921945
2,-0.047297720688254,0.0126369097924203,-0.0729025320656346,-0.0216929093108733
3,-0.0480042270708292,0.0155787410617162,-0.0795697547935607,-0.0164386993480977
4,-0.0523871387401929,0.0162824592686796,-0.0853785349899699,-0.0193957424904158
5,-0.0611251940625366,0.0112069496533844,-0.0838326309837708,-0.0384177571413024
6,-0.0661311804386729,0.0125041309249999,-0.0914669562756369,-0.0407954046017089
7,-0.0530825360181216,0.00936703867182821,-0.0720619591758821,-0.0341031128603611
8,-0.0562819838640036,0.0107880298886471,-0.0781406087153131,-0.0344233590126941
