"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.255698020604414,0.410455451374406,-1.08735976258845,0.575963721379617
-15,-0.398092843908944,0.329596980173556,-1.06591976097376,0.26973407315587
-14,-0.225798747813577,0.434038548333807,-1.10524438311163,0.653646887484478
-13,-0.351748888534767,0.444186570909563,-1.25175637069047,0.548258593620935
-12,-0.425452215591406,0.34103006404633,-1.11644476102841,0.265540329845603
-11,-0.45437617176848,0.265623440151537,-0.992580384207388,0.0838280406704278
-10,-0.388191622710847,0.284626531573329,-0.964899755762842,0.188516510341148
-9,-0.33566451347816,0.259983730535167,-0.862441588798706,0.191112561842387
-8,-0.28616371914037,0.216344414485575,-0.724519141189488,0.152191702908748
-7,-0.246036867989047,0.261974092944729,-0.776846800622545,0.284773064644451
-6,-0.278741726405071,0.276694059646253,-0.839377144625236,0.281893691815093
-5,-0.635936283155357,0.284308615255282,-1.21200025655985,-0.0598723097508617
-4,-0.0754100837323528,0.356930042293034,-0.79861904525516,0.647798877790454
-3,-0.362971028040091,0.396994393440752,-1.16735807589456,0.441416019814374
-2,-0.0776442046120303,0.264651205363299,-0.613878482250716,0.458590073026655
-1,0,NA,0,0
0,-0.854236974667879,0.30080843377945,-1.46373275600739,-0.244741193328366
1,-1.37295939817642,0.338485589542456,-2.05879634855131,-0.68712244780153
2,-1.46730603616928,0.270428229772584,-2.01524567712479,-0.919366395213764
3,-1.26559493268285,0.369702826062813,-2.01468401241189,-0.51650585295382
4,-1.60576022898,0.30297397007993,-2.21964380364996,-0.991876654310042
5,-1.43147277225035,0.294304520165685,-2.02779037284546,-0.83515517165524
6,-1.34811986905567,0.302699478275891,-1.96144727050113,-0.734792467610217
7,-1.06810002628884,0.398547062875375,-1.87563308124931,-0.260566971328363
8,-1.36228704610762,0.291964468412443,-1.95386325147721,-0.770710840738024
