"rel_week","beta","se","ci_lo","ci_hi"
-16,0.0565321224447315,0.0360034684031085,-0.0158975135765914,0.128961758466054
-15,0.0420716371199767,0.0315168867635747,-0.0213321608489399,0.105475435088893
-14,0.0178136714834616,0.0271411946685246,-0.0367873694222356,0.0724147123891588
-13,0.00136496652974993,0.025219673511067,-0.0493704724155009,0.0521004054750008
-12,0.0135234868758487,0.033811776403412,-0.0544970335560673,0.0815440073077647
-11,0.000252651071493082,0.0408634784075492,-0.0819540639728952,0.0824593661158813
-10,0.0164569372340557,0.0209704729527057,-0.0257302127969765,0.0586440872650879
-9,0.0370907121686921,0.0305294395617789,-0.0243265982592029,0.0985080225965871
-8,0.00316222431756352,0.0362925149260245,-0.0698488983042621,0.0761733469393892
-7,-0.00950686747328788,0.0275027131509971,-0.0648351897566371,0.0458214548100613
-6,0.00999265045803344,0.0398207134516783,-0.0701162920783317,0.0901015929943986
-5,0.0275857163974891,0.0345056790305919,-0.0418307560621082,0.0970021888570863
-4,0.0125908427079398,0.0277194122991238,-0.0431734220309868,0.0683551074468663
-3,-0.00271846310658885,0.0326848998762163,-0.0684720003747742,0.0630350741615965
-2,0.0311586114287528,0.0400464511269791,-0.0494044567344902,0.111721679591996
-1,0,NA,0,0
0,-0.183018718523759,0.0502065257032435,-0.284021220334589,-0.0820162167129291
1,-0.548428168886772,0.0322062810520005,-0.613218849275649,-0.483637488497895
2,-0.553215817069251,0.0393927093898929,-0.632463726494482,-0.47396790764402
3,-0.547667092115907,0.0392129249320471,-0.62655332186355,-0.468780862368264
4,-0.535154465219235,0.0424367177805657,-0.620526129648115,-0.449782800790355
5,-0.542340520401648,0.0595086546110392,-0.662056491800228,-0.422624549003069
6,-0.516836695665027,0.0467329222694345,-0.610851208719433,-0.422822182610622
7,-0.515425539161523,0.0539705757204806,-0.624000332887734,-0.406850745435313
8,-0.510219758877656,0.022985197479091,-0.556460011862423,-0.46397950589289
