"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00124571947374984,0.0112959172863309,-0.0214787349709024,0.0239701739184021
-15,-0.00126838275173358,0.01347175759342,-0.0283700632935632,0.025833297790096
-14,-0.00227414676128442,0.0120998571570444,-0.0266159196144536,0.0220676260918848
-13,-0.0120608282702541,0.0115416959633169,-0.0352797256368099,0.0111580690963017
-12,-0.010070412433339,0.0142391184820745,-0.0387158239635266,0.0185749990968486
-11,-0.00886711817935835,0.0148034541229715,-0.0386478265816801,0.0209135902229634
-10,-0.00602960519197712,0.0135182838987088,-0.0332248845871105,0.0211656742031562
-9,-0.0119796884492423,0.0126864928935378,-0.037501620180317,0.0135422432818324
-8,0.000685842143043486,0.0105900485601903,-0.0206185875878569,0.0219902718739439
-7,0.00241070796872982,0.0133334723686911,-0.0244127785840624,0.029234194521522
-6,-0.0102390637554784,0.00871246599245851,-0.027766284567,0.00728815705604319
-5,-0.0161481021640401,0.00927056709348008,-0.0347980775712439,0.00250187324316382
-4,-0.00671483127834135,0.00873751357686677,-0.0242924413301881,0.0108627787735054
-3,-0.0269001372635021,0.00793433379470854,-0.0428619580077725,-0.0109383165192317
-2,-0.0151354781528195,0.00615711332431319,-0.0275219924749657,-0.00274896383067325
-1,0,NA,0,0
0,-0.0146377641477763,0.0105258471877459,-0.0358130373766932,0.00653750908114056
1,-0.0109181848413545,0.0151937136251796,-0.0414839940951363,0.0196476244124272
2,-0.0192013363197492,0.0112293262461365,-0.041791826870991,0.00338915423149255
3,-0.0283501401304023,0.0123132110970116,-0.0531211257483676,-0.00357915451243708
4,-0.0346068885776158,0.0098756312394238,-0.0544740960406199,-0.0147396811146116
5,-0.0305982470070146,0.0119701963165094,-0.0546791758942353,-0.00651731811979385
6,-0.0117697269599226,0.0125344920996666,-0.0369858725358475,0.0134464186160024
7,-0.0271370447711494,0.0119214080383082,-0.0511198243025177,-0.00315426523978115
8,-0.0203818945077969,0.0141499743819662,-0.0488479712402367,0.00808418222464287
