"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0003874267269245,0.000272322345795977,-0.000935268622756194,0.000160415168907194
-15,-0.000215436162189649,0.000303125684109689,-0.000825246381665161,0.000394374057285864
-14,-0.000203801206982185,0.000329287064459032,-0.000866241335201563,0.000458638921237194
-13,-5.35038209409855e-05,0.000261478879569908,-0.000579531476456436,0.000472523834574465
-12,-0.000402176193221226,0.000317186469422948,-0.00104027306416628,0.000235920677723826
-11,0.000261572160008607,0.000254724607971042,-0.00025086765369067,0.000774011973707884
-10,-0.000313056982623535,0.000192917226619022,-0.000701156383209409,7.50424179623385e-05
-9,-0.00075331112418749,0.000264749654830754,-0.00128591873080649,-0.000220703517568491
-8,-1.13298293631392e-05,0.00033836655035835,-0.000692035527210015,0.000669375868483737
-7,-0.000151045095509138,0.000267821388773619,-0.000689832233748397,0.000387742042730122
-6,-0.000355207438171072,0.000200145956701916,-0.000757849167927521,4.74342915853759e-05
-5,-0.000342003069260393,0.000320750197189212,-0.000987269235732742,0.000303263097211956
-4,-8.74079150156172e-05,0.000354290720413105,-0.000800148910909166,0.000625333080877932
-3,-0.000318183377633536,0.000258374002000028,-0.000837964825151487,0.000201598069884415
-2,-0.000642818041180867,0.000289115484432103,-0.00122444337435954,-6.11927080021984e-05
-1,0,NA,0,0
0,-0.000358256786142501,0.000307221508285761,-0.000976306741050131,0.000259793168765128
1,-2.46910667924341e-07,0.000279616624646619,-0.000562763002781897,0.000562269181446049
2,-0.000346349475508257,0.000219354884780661,-0.000787634584106038,9.49356330895233e-05
3,-0.000313705623504997,0.000464935221078499,-0.00124903464400852,0.000621623396998524
4,-0.00062816262149907,0.000414777697179777,-0.00146258771910716,0.000206262476109023
5,-0.000280330739659476,0.000436491860024058,-0.00115843909838314,0.000597777619064182
6,0.000369654744957322,0.000490438345672766,-0.000616979944519185,0.00135628943443383
7,-8.6276507479794e-05,0.000342991637543503,-0.000776286680596575,0.000603733665636987
8,-0.000575618874244881,0.000236934553176331,-0.00105226971397217,-9.89680345175959e-05
