"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000474120184961703,0.00110085727390666,-0.00268875936271383,0.00174051899279042
-15,-0.000264937027056504,0.00099532037146942,-0.0022672633424821,0.00173738928836909
-14,-0.000826075077523622,0.000814800364440529,-0.00246524198127041,0.000813091826223169
-13,0.000512210621864401,0.00103111252222111,-0.00156212021330188,0.00258654145703069
-12,-0.000608469819467925,0.000937671322211527,-0.00249482120692341,0.00127788156798756
-11,0.00198323153310157,0.000998501250060617,-2.5493884655193e-05,0.00399195695085833
-10,-0.000341114533343819,0.000829952530261467,-0.00201076366294334,0.0013285345962557
-9,-0.00183368699728189,0.00069813387629627,-0.0032381512002343,-0.000429222794329483
-8,0.00179991325765524,0.000810216810820864,0.000169967274421983,0.0034298592408885
-7,0.00262808867727884,0.00190257064000491,-0.00119938975945182,0.00645556711400949
-6,-0.00121458224051519,0.000639674158495034,-0.00250144066074565,7.2276179715262e-05
-5,-0.00140647348649568,0.000756864923156688,-0.00292908931583096,0.00011614234283959
-4,4.26190868831578e-05,0.0012842368720935,-0.00254093225793293,0.00262617043169924
-3,-0.000581719432179393,0.00072866570931496,-0.00204760576057393,0.000884166896215147
-2,-0.000790375844855855,0.000596163835472942,-0.0019897027854973,0.000408951095785589
-1,0,NA,0,0
0,-0.000557675322401303,0.000827462112381218,-0.00222231437745501,0.0011069637326524
1,-0.000222532350682111,0.000804654524207972,-0.00184128845658724,0.00139622375522301
2,-0.00100640850817335,0.000859185367515714,-0.00273486652080851,0.000722049504461813
3,-0.000778047314843437,0.00127824101885337,-0.00334953655878197,0.00179344192909509
4,-0.00100761866784036,0.00112161426032534,-0.00326401551611388,0.00124877818043317
5,-0.00114725312871589,0.00103987455390792,-0.00323921089800912,0.000944704640577349
6,0.00202412113395967,0.00200616598959229,-0.0020117642645699,0.00606000653248924
7,0.000697611875230787,0.00153154824630687,-0.00238346578059651,0.00377868953105809
8,-0.00139182822859149,0.000770771230374929,-0.00294241993955407,0.000158763482371092
