"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000189946933671722,0.000314969244739567,-0.000823583323893175,0.000443689456549731
-15,-0.000232277800055289,0.000344654855084188,-0.000925633935281811,0.000461078335171233
-14,-5.46379237085712e-06,0.000258840458119326,-0.000526183628561878,0.000515256043820164
-13,1.71831276617255e-05,0.00026133181209005,-0.000508548666246242,0.000542914921569693
-12,-0.000439958198534574,0.000281733690428988,-0.00100673327765317,0.000126816880584021
-11,-0.000344283985261474,0.000257817595568159,-0.000862946087418334,0.000174378116895386
-10,-0.000398947621111989,0.000341430165115439,-0.00108581651688416,0.000287921274660182
-9,-0.000710665621777836,0.000293742021102782,-0.00130159834621517,-0.000119732897340506
-8,0.00010904164620631,0.000307782779028409,-0.000510137439793476,0.000728220732206095
-7,-0.000304911995262944,0.000173968924891853,-0.000654892329597894,4.50683390720073e-05
-6,-0.000452998983353939,0.000262112454687051,-0.000980301227601037,7.43032608931581e-05
-5,-0.000431095210625229,0.000318827788965491,-0.00107249399058999,0.000210303569339533
-4,-0.000131266489342883,0.000288378467499751,-0.000711409135699435,0.000448876157013668
-3,-0.00013652536429093,0.000227022071212601,-0.000593234862460164,0.000320184133878304
-2,-0.000798083961838012,0.000244890045165605,-0.00129073918710677,-0.000305428736569253
-1,0,NA,0,0
0,-0.000191815957174991,0.000279756018186509,-0.000754612472920512,0.00037098055857053
1,0.000435968955718442,0.000185149504109246,6.34961972048959e-05,0.000808441714231987
2,-0.000243489259834167,0.000213163807611056,-0.000672319527666225,0.000185341007997891
3,-5.73089129920733e-05,0.000360689845332659,-0.000782923287738706,0.00066830546175456
4,-0.000193883472377957,0.000395363016607754,-0.000989251270518191,0.000601484325762276
5,-0.000102987726116665,0.000372838067610216,-0.000853041171788854,0.000647065719555525
6,0.00020358515008184,0.000383047044844213,-0.000567006108695725,0.000974176408859406
7,0.000163742034080402,0.000289141571306653,-0.000417935779120675,0.000745419847281479
8,-8.79956313616308e-05,0.000225144396330037,-0.000540927734897997,0.000364936472174735
