"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000156424077052486,0.00137806835335477,-0.00292874001418515,0.00261589186008017
-15,-0.000927948726364048,0.000797989545179994,-0.00253329662393543,0.000677399171207334
-14,0.00017991656548501,0.00110325442485943,-0.00203954505795634,0.00239937818892636
-13,0.000139111209941028,0.00180050787808947,-0.00348304343370117,0.00376126585358322
-12,-0.000103498424517104,0.00110117990786924,-0.00231878665808287,0.00211178980904867
-11,-9.34739138449482e-05,0.00106151797381753,-0.002228972627826,0.0020420248001361
-10,-0.00118400028256844,0.00093685842256503,-0.00306871632687147,0.000700715761734592
-9,-0.00185718361852493,0.00121047125287978,-0.00429233767864842,0.000577970441598555
-8,0.00110134733895975,0.000920428250940116,-0.000750315463437906,0.00295301014135741
-7,0.000602932952327356,0.00126603978470291,-0.00194401057455319,0.0031498764792079
-6,-0.00216330210934792,0.000747151226793711,-0.00366637650217172,-0.000660227716524111
-5,-0.00150831591958721,0.000811435911514957,-0.00314071441707709,0.000124082577902673
-4,-0.000854229450938135,0.000892164385906655,-0.00264903269097339,0.00094057378909712
-3,-0.000429863763777279,0.0007416512049222,-0.00192187353977577,0.00106214601222121
-2,-0.00176596031753095,0.000792957501769192,-0.00336118504950598,-0.000170735585555925
-1,0,NA,0,0
0,6.71762868177748e-07,0.00132010253047722,-0.00265503197997003,0.00265637550570639
1,0.00218550863720565,0.0012405772389648,-0.000310210854830844,0.00468122812924214
2,-0.00128911588238386,0.000966093510675438,-0.00323264533786106,0.000654413573093338
3,-0.000419184667708265,0.00123672081870021,-0.00290714604286053,0.002068776707444
4,-0.000331085823301418,0.00136314097791481,-0.00307337175449786,0.00241120010789502
5,-3.98541084426331e-05,0.00135026787949141,-0.00275624270600349,0.00267653448911822
6,0.00077432448716344,0.00183434132193743,-0.00291589426618669,0.00446454324051357
7,0.00118388349866743,0.00135068262316084,-0.00153333945553603,0.00390110645287088
8,0.000392830145223398,0.00127141599212989,-0.00216492891594823,0.00295058920639503
