"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000246064770770758,0.000584079177971715,-0.000928950974780918,0.00142108051632243
-15,-9.73999281038205e-05,0.000659627596199963,-0.00142439948735346,0.00122959963114582
-14,0.000459468791539231,0.000609332853724053,-0.000766350796644019,0.00168528837972248
-13,0.000265014155982098,0.000700435216867821,-0.00114407974703399,0.00167410805899819
-12,-0.000389463666999941,0.000787777188859164,-0.00197426695362007,0.00119533961962018
-11,-0.00116202095655107,0.000558093095344676,-0.0022847594468888,-3.92824662133356e-05
-10,-0.000445367220751742,0.000773384337835885,-0.00200121582586026,0.00111048138435678
-9,-0.000523360452736591,0.000667158699936365,-0.00186551063848586,0.000818789733012674
-8,0.000356600046357183,0.000639656358586954,-0.000930222565077048,0.00164342265779141
-7,-0.000446099906089315,0.000390507363519285,-0.00123169939019086,0.000339499578012228
-6,-0.000491072426496022,0.000555816863333596,-0.00160923172867842,0.000627086875686372
-5,-0.000475360350736395,0.000510146174600494,-0.00150164207810447,0.000550921376631677
-4,-0.000101458674367134,0.000433513816553084,-0.000973575982388586,0.000770658633654319
-3,0.000205286678630683,0.000493622732009629,-0.000787754169851059,0.00119832752711243
-2,-0.00102192848656714,0.000396121193904733,-0.0018188215406923,-0.000225035432441988
-1,0,NA,0,0
0,0.000115680405534383,0.00034325928720115,-0.000574868209242171,0.000806229020310937
1,0.00125310008944691,0.000440192401415011,0.000367547201684341,0.00213865297720949
2,-1.55291066654449e-06,0.000389445201219061,-0.00078501559983657,0.000781909778503481
3,0.000430816381256404,0.00064935316532738,-0.000875513689151349,0.00173714645166416
4,0.000649343520495575,0.000574406047734585,-0.000506212397063483,0.00180489943805463
5,0.000240473684968718,0.000451856724853475,-0.000668544794820261,0.0011494921647577
6,-0.000153817214913358,0.000403311141864909,-0.00096517457864161,0.000657540148814893
7,0.000621515625165953,0.000601316647193361,-0.000588177435573079,0.00183120868590499
8,0.000894259874152481,0.000536207176138194,-0.000184449825837355,0.00197296957414232
