"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00094496038652362,0.00220245793526202,-0.00348581347162859,0.00537573424467583
-15,-0.00120707964381405,0.00165611494233293,-0.00453875316869844,0.00212459388107035
-14,0.00240400535218138,0.00300563757686678,-0.00364255753079007,0.00845056823515284
-13,0.000103445185602139,0.00331078683989156,-0.00655699883253106,0.00676388920373534
-12,0.001108043450374,0.0026380815823987,-0.0041990921474618,0.0064151790482098
-11,-0.00273069980382067,0.00214840984912755,-0.00705274293740661,0.00159134332976528
-10,-0.00207056833423021,0.00199420599108858,-0.00608239331922574,0.00194125665076531
-9,-0.00130238294808276,0.00301161723803726,-0.00736097535768926,0.00475620946152374
-8,0.000362624252877379,0.00234969586221688,-0.00436435410808751,0.00508960261384227
-7,-0.00201435363606469,0.00128761290165584,-0.00460469667632688,0.000575989404197495
-6,-0.0030998239961579,0.00153224315505904,-0.0061822996280753,-1.73483642405023e-05
-5,-0.00130093604687352,0.00165209738101676,-0.00462452728089177,0.00202265518714473
-4,-0.00184218100644965,0.0016906239683674,-0.00524327773709694,0.00155891572419763
-3,8.25986519386139e-05,0.00179662374051167,-0.00353174211477743,0.00369693941865466
-2,-0.00320222763945498,0.00173537059805628,-0.00669334297790025,0.000288887698990287
-1,0,NA,0,0
0,0.00108037200685374,0.00332512943827655,-0.0056089255975227,0.00776966961123018
1,0.00681032645954121,0.00357164628974522,-0.000374899082251852,0.0139955520013343
2,-0.00149425682808949,0.00244465197233941,-0.00641226224281407,0.00342374858663509
3,0.000270649730543152,0.00190565586704115,-0.00356303538241035,0.00410433484349665
4,0.00108879952458114,0.0025711569940747,-0.00408370116755858,0.00626130021672086
5,0.00219234954569637,0.00274485678784535,-0.00332959005879826,0.007714289150191
6,-0.00165127751465312,0.0024388311671774,-0.00655757297981075,0.00325501795050451
7,0.0020260838533313,0.00306092564450417,-0.00413170427523213,0.00818387198189473
8,0.0041762335726523,0.0032649099127242,-0.0023919179724529,0.0107443851177575
