"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000586462135712501,0.000649775017522152,-0.00189364086327128,0.000720716591846279
-15,-0.000151646711213776,0.000604227557251128,-0.00136719576764784,0.00106390234522029
-14,-0.000103530903358197,0.000493642124646104,-0.0010966107647924,0.000889548958076008
-13,5.1699332696044e-05,0.00076956613793827,-0.00149646804498892,0.00159986671038101
-12,-0.000608046528177223,0.000528642380433989,-0.00167153782217082,0.000455444765816376
-11,-1.17977506626215e-05,0.000458094191404555,-0.000933364394615442,0.000909768893290199
-10,-0.000136687707644816,0.000464835299876999,-0.0010718157126191,0.000798440297329468
-9,0.000122060915820211,0.000534636857908791,-0.000953489711368089,0.00119761154300851
-8,-0.000195558819261852,0.00056148977371545,-0.00132513054509018,0.000934012906566476
-7,-0.000390825564640779,0.000541236466750604,-0.00147965289231092,0.000698001763029366
-6,-0.000477070746316617,0.000560595991522135,-0.0016048444142962,0.000650702921662971
-5,-4.90528929910673e-06,0.000532942773781633,-0.00107704785881514,0.00106723728021692
-4,-3.681189373053e-05,0.000510332379040222,-0.00106346821611384,0.00098984442865278
-3,-8.17222369785889e-05,0.000801432264230838,-0.00169399599194194,0.00153055151798477
-2,0.000190534597495609,0.000539261438236793,-0.000894319485297529,0.00127538868028875
-1,0,NA,0,0
0,0.00119123998674068,0.000798046003563708,-0.000414221490448561,0.00279670146392992
1,0.000513769036735768,0.000550726359184796,-0.000594149492015176,0.00162168756548671
2,-0.00138832259759849,0.0007171724592681,-0.00283108748923934,5.4442294042356e-05
3,-0.00290259961174246,0.000452099727427164,-0.00381210694965387,-0.00199309227383105
4,-0.00273035273406875,0.000852877010761244,-0.00444611996984588,-0.00101458549829161
5,-0.0032911815629244,0.000684103068963699,-0.00466741942232554,-0.00191494370352325
6,-0.00256619554771392,0.000852396470893428,-0.0042809960619705,-0.000851395033457335
7,-0.00328111779186434,0.000713111143287559,-0.00471571236960807,-0.0018465232141206
8,-0.00325004399579053,0.000823923977029233,-0.00490756524061359,-0.00159252275096747
