"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00243678882583551,0.0186442484108552,-0.0399441787019948,0.0350706010503238
-15,0.00141076216943364,0.0157439681773056,-0.0302620164597241,0.0330835407985914
-14,0.012827610799767,0.0124234837643755,-0.0121652148106913,0.0378204364102252
-13,0.00666238651602916,0.0130888063439896,-0.0196688954825378,0.0329936685145961
-12,0.0103738905777801,0.0112513291775918,-0.0122608641620911,0.0330086453176514
-11,0.0120769067848506,0.00967278846069694,-0.0073822336422712,0.0315360472119724
-10,0.000707375687674761,0.0140820823503987,-0.0276221198943013,0.0290368712696508
-9,0.0144259531790279,0.0160337129060397,-0.017829716659564,0.0466816230176198
-8,0.0270832296154352,0.0124378420117636,0.00206151893700019,0.0521049402938702
-7,0.00588936984021979,0.0144231808840783,-0.0231263274811332,0.0349050671615727
-6,0.0184992864610561,0.00941671041677113,-0.000444691390423507,0.0374432643125357
-5,0.00161404204841931,0.0133101685809144,-0.0251625633303792,0.0283906474272178
-4,0.0102802031124343,0.0178256238462095,-0.0255803265614927,0.0461407327863614
-3,-0.00413048227240247,0.0124549367742772,-0.0291865831771586,0.0209256186323536
-2,0.0107802147860426,0.00880305964574831,-0.00692925694808889,0.028489686520174
-1,0,NA,0,0
0,0.00650924334191552,0.0146145230679105,-0.0228913848026383,0.0359098714864694
1,-0.0135258135751994,0.013192886301723,-0.040066477441406,0.0130148502910072
2,-0.0223350667255168,0.0187764442503246,-0.0601084003276831,0.0154382668766495
3,-0.0346490556171619,0.0196268317198497,-0.07413314814414,0.00483503690981612
4,-0.0430877940937023,0.0193525799292889,-0.0820201631826462,-0.00415542500475839
5,-0.0460742814276974,0.0191010481487976,-0.0845006338433366,-0.0076479290120583
6,-0.0357404452264419,0.0198154584301014,-0.075604005748405,0.00412311529552112
7,-0.046465917526521,0.0178160413666661,-0.0823071697381286,-0.0106246653149133
8,-0.0503193147470576,0.0227251289803151,-0.096036377396492,-0.00460225209762324
