"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000417285771682147,0.00102635094576409,-0.00248203755058064,0.00164746600721634
-15,-0.000158614258180539,0.000652618144694021,-0.00147151261985666,0.00115428410349558
-14,-0.000372832306489473,0.000880404837284299,-0.00214397838613796,0.00139831377315901
-13,-0.000890528714129587,0.000956052093432656,-0.00281385744372422,0.00103280001546504
-12,0.000147777334843694,0.000828025132607686,-0.00151799437080965,0.00181354904049704
-11,-0.000391207295213082,0.000725232488085164,-0.00185018687336705,0.00106777228294088
-10,-0.000111445721817378,0.000641850742383616,-0.00140268286403803,0.00117979142040327
-9,-0.000293001444262782,0.000755126261506375,-0.00181211953751645,0.00122611664899089
-8,-0.00072317314947359,0.000819484536919172,-0.00237176339276896,0.000925417093821783
-7,-0.00119325984518142,0.000921495816514333,-0.00304707031249579,0.000660550622132953
-6,-0.00148807551930966,0.000750917954979997,-0.00299872759183003,2.25765532107024e-05
-5,-0.00118821646653841,0.000689364749536887,-0.00257503946191894,0.000198606528842113
-4,0.000266806465534094,0.000763800919703889,-0.00126976278905828,0.00180337572012646
-3,-0.00044550753467059,0.00118623887045344,-0.00283191232932281,0.00194089725998162
-2,-0.000716813830517068,0.00122659384570564,-0.0031844023638147,0.00175077470278056
-1,0,NA,0,0
0,0.00194895104548362,0.000679168312673711,0.000582640635236426,0.00331526145573081
1,0.00532062124297632,0.00104065023252253,0.00322710300958845,0.00741413947636419
2,0.00405226533414687,0.00103458217499993,0.00197095445791686,0.00613357621037687
3,0.00460489915567316,0.00108066460980719,0.00243088237837007,0.00677891593297625
4,0.00499730658544354,0.000986435461649957,0.0030128544030626,0.00698175876782449
5,0.00513478267778722,0.00111136329769262,0.00289900810634667,0.00737055724922778
6,0.00558709365847293,0.00103404304370576,0.00350686737450962,0.00766731994243625
7,0.00536976599924896,0.000944001217981167,0.003470680504026,0.00726885149447192
8,0.00467584214978687,0.000904797119471713,0.00285562512783963,0.0064960591717341
