"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000286358824635069,0.00136223864866213,-0.00245411185424703,0.00302682950351717
-15,-0.000631962877186115,0.00136135461499835,-0.00337065510973129,0.00210672935535906
-14,-0.000112267016808911,0.00118605730224816,-0.00249830654334657,0.00227377250972875
-13,-0.000651425422201309,0.000971821230172143,-0.00260647756304131,0.00130362671863869
-12,8.03522555818843e-05,0.000863112261480931,-0.00165600564873622,0.00181671015989999
-11,0.000305555058117329,0.00143612343417198,-0.00258355263712316,0.00319466275335782
-10,0.000132044065778211,0.000958464539395939,-0.00179613787909794,0.00206022601065436
-9,0.000565844659421839,0.000841982963104309,-0.00112800657932533,0.00225969589816901
-8,0.000328747398675534,0.000724237882416901,-0.0011282312909604,0.00178572608831147
-7,-0.000542391342713239,0.00098448658565915,-0.00252292289230724,0.00143814020688076
-6,-0.000266768755328762,0.000779596984105844,-0.00183511559263603,0.0013015780819785
-5,0.000531708184150465,0.0010113149722814,-0.00150279511772953,0.00256621148603046
-4,0.000663959919390448,0.00115092610035624,-0.0016514047450052,0.0029793245837861
-3,0.000912133004278087,0.00129172662690211,-0.00168648578372438,0.00351075179228055
-2,0.000827475792070424,0.000883288362014986,-0.000949471191101127,0.00260442277524198
-1,0,NA,0,0
0,0.00455464917635959,0.00160973046803085,0.00131628917763675,0.00779300917508243
1,0.0117117488767347,0.00129734265236615,0.00910183210278008,0.0143216656506893
2,0.00986071417750852,0.00156814833001112,0.00670600665048748,0.0130154217045296
3,0.0105023464130862,0.00123025623622804,0.00802739010039758,0.0129773027257749
4,0.0123348403107843,0.001157376657397,0.0100064987994536,0.014663181822115
5,0.0123698115343667,0.00232881175765624,0.00768484657263944,0.017054776496094
6,0.0109569490049351,0.00194618833681696,0.00704172308041203,0.0148721749294581
7,0.0110111081883843,0.00170647406203397,0.00757812518216159,0.0144440911946071
8,0.0123548628755091,0.00182958183580249,0.0086742189732412,0.0160355067777771
