"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0183589737598191,0.0150572843867959,-0.0486503227874871,0.0119323752678489
-15,-0.0139586014551129,0.0195199962649223,-0.0532277687691107,0.025310565858885
-14,-0.00168749231522214,0.0211830211313977,-0.0443022341284487,0.0409272494980044
-13,0.00613716625564664,0.0394658002963651,-0.0732577831073193,0.0855321156186126
-12,-0.00126979523979459,0.0250666533259135,-0.0516973972791537,0.0491578067995645
-11,0.0128636818233598,0.0367674185689311,-0.061102823697019,0.0868301873437386
-10,0.0013491860367168,0.0463587411750261,-0.0919125717505954,0.094610943824029
-9,0.0432041685927782,0.0485243643669553,-0.0544142611072108,0.140822598292767
-8,0.0386333990912185,0.0457922806680042,-0.0534887871446898,0.130755585327127
-7,0.029006996518909,0.0362946346773587,-0.0440083904925547,0.102022383530373
-6,0.0143199468108081,0.0271261464124861,-0.0402508209085556,0.0688907145301718
-5,0.0164677963048604,0.0220022275518253,-0.0277949762534478,0.0607305688631687
-4,0.0285104097095346,0.029806639727505,-0.0314528150084344,0.0884736344275036
-3,0.015679360151568,0.0169897195877076,-0.0184995470599315,0.0498582673630675
-2,0.0315925886535275,0.0231393374890036,-0.014957754033967,0.078142931341022
-1,0,NA,0,0
0,0.065014939826979,0.0307478753461113,0.00315819328209434,0.126871686371864
1,0.206148066360653,0.0440869222483109,0.117456618748072,0.294839513973234
2,0.183876918456991,0.0515375095186864,0.0801968225815158,0.287557014332466
3,0.199932421336715,0.0477521541186126,0.103867478278434,0.295997364394995
4,0.233116907554268,0.0707609534055553,0.0907642307981682,0.375469584310368
5,0.206513968778716,0.0498463668254958,0.106236013173631,0.306791924383802
6,0.231655035119544,0.0584426935988376,0.114083500675267,0.349226569563821
7,0.194876840278729,0.0441358889202417,0.106086884428402,0.283666796129056
8,0.149881365989644,0.0288542095203421,0.0918341837059251,0.207928548273364
