"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00113411752716765,0.0007028405484699,-0.00254805033321659,0.000279815278881301
-15,-0.0012379037180313,0.000528122624584048,-0.00230034939812432,-0.000175458037938271
-14,-0.000134078886631286,0.000628132139858295,-0.00139771776035999,0.00112955998709742
-13,-0.000362212823801729,0.000673911587670092,-0.0017179480673896,0.000993522419786143
-12,0.000319130923236464,0.00103730615726424,-0.00176765989847335,0.00240592174494628
-11,-0.00103940165640996,0.000842488653664975,-0.00273427021334544,0.000655466900525514
-10,-0.000411180604087111,0.000642646353605083,-0.00170401830963516,0.00088165710146094
-9,0.000115985844220454,0.000783930512617089,-0.00146107892796029,0.0016930506164012
-8,-0.000213928480666934,0.000755554167971745,-0.00173390741069308,0.00130605044935921
-7,-0.000471183006267681,0.000638786728162966,-0.001756256146946,0.000813890134410641
-6,-0.000107835673053514,0.000609782392453216,-0.00133455961651071,0.00111888827040368
-5,-0.000640343680011662,0.000712679453221244,-0.00207406980935962,0.000793382449336293
-4,-0.000641016379231773,0.000537895393531997,-0.00172312233454871,0.00044108957608516
-3,-0.000615248290738943,0.00077322336515809,-0.00217077306058994,0.000940276479112052
-2,0.000195965126379103,0.00053538950133415,-0.000881099624080384,0.00127302987683859
-1,0,NA,0,0
0,-0.000134488303616283,0.00050488399175162,-0.00115018388455662,0.000881207277324055
1,-0.000558115007938757,0.000923766322250474,-0.00241649314362918,0.00130026312775167
2,0.000645032096660278,0.000911275925461079,-0.00118821860177636,0.00247828279509692
3,0.000687275036292973,0.000765079249860887,-0.000851865886866153,0.0022264159594521
4,-0.000119523119458285,0.000508508139736829,-0.00114250954572822,0.000903463306811651
5,-0.00119247187803421,0.00057629817658552,-0.0023518342678599,-3.31094882085343e-05
6,-7.9350094650219e-05,0.000721893437604225,-0.00153161236967429,0.00137291218037385
7,-0.000562204327965277,0.000735202641940092,-0.00204124126855732,0.000916832612626766
8,-0.000280420144570208,0.000455159216175505,-0.00119608237994795,0.00063524209080754
