"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0147297581191776,0.00802022403527334,-0.0308643677401262,0.00140485150177094
-15,-0.0117241377806428,0.00617613560768141,-0.0241489200009045,0.000700644439618864
-14,-0.00786806129521065,0.0063289310147791,-0.0206002282262426,0.0048641056358213
-13,-0.0102429447816797,0.00586283261305376,-0.0220374426745761,0.00155155311121673
-12,-0.00324407452400118,0.00835447160411987,-0.020051103520814,0.0135629544728117
-11,-0.00500124428539777,0.00849043007190014,-0.0220817864400288,0.0120792978692333
-10,-0.0144490329487897,0.00607364673560063,-0.02666763415288,-0.00223043174469939
-9,-0.0100969537517197,0.00780882631035714,-0.0258062860049441,0.00561237850150467
-8,-0.00752000009960199,0.0073036926783506,-0.0222131345604714,0.00717313436126737
-7,-0.0127777433215989,0.00572852849704079,-0.0243020561831514,-0.0012534304600465
-6,-0.00410738097896465,0.00535456264749237,-0.0148793715902292,0.00666460963229986
-5,-0.0113209859923424,0.00620792221146943,-0.0238097146112383,0.00116774262655353
-4,-0.0078799604164864,0.00525622012625133,-0.018454111393548,0.00269419056057518
-3,-0.00375251001147279,0.00624188658068497,-0.0163095661279429,0.00880454610499732
-2,-0.00133188441714604,0.00560509495482178,-0.0126078810210633,0.00994411218677125
-1,0,NA,0,0
0,-0.000270773241333803,0.00480887127784138,-0.00994497441627874,0.00940342793361113
1,-0.000765081516626721,0.00645523369927833,-0.0137513366750586,0.0122211736418052
2,-0.00371466743730771,0.00615823403077604,-0.0161034363300492,0.0086741014554338
3,-0.00964822634535268,0.00645116849133278,-0.0226263033602638,0.0033298506695584
4,-0.00949806445235981,0.00465884194718479,-0.0188704455445751,-0.000125683360144497
5,-0.0140034904695268,0.00466791665143729,-0.023394127511937,-0.00461285342711659
6,-0.0055388576701541,0.00544730402254483,-0.0164974198629106,0.00541970452260245
7,-0.0111410910082568,0.00787496207100795,-0.0269834712505888,0.00470128923407513
8,-0.00655349325846635,0.00482339985333429,-0.0162569221573372,0.00314993564040445
