"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.000496864214762072,0.000410274689080777,-0.00132223042854376,0.000328501999019611
-15,-0.000916138129507997,0.000387439860468907,-0.0016955665934471,-0.00013670966556889
-14,0.000135537669910193,0.000484870549256221,-0.00083989605794295,0.00111097139776334
-13,-0.000110496494484906,0.000691758014100685,-0.0015021341171485,0.00128114112817869
-12,0.00028858942980242,0.000745820467713719,-0.00121180782106615,0.00178898668067099
-11,-0.000136914559507764,0.000681204595252324,-0.00150732144191575,0.00123349232290022
-10,-0.000161175188325779,0.000691264750927595,-0.00155182049348014,0.00122947011682858
-9,0.000488847058451758,0.00068945024134642,-0.000898147924265601,0.00187584204116912
-8,-0.000157105621937457,0.000675559490648025,-0.00151615601870873,0.00120194477483382
-7,-0.00030778325171179,0.000447200865480747,-0.00120743535057442,0.000591868847150845
-6,-0.000389738453404971,0.000486698592957061,-0.00136884973083196,0.000589372824022021
-5,-0.00063601414263775,0.000636371715772499,-0.00191622890504901,0.000644200619773511
-4,-0.000619093354660337,0.000411992485961835,-0.001447915330022,0.000209728620701328
-3,8.84712093655526e-06,0.00070415696704847,-0.00140773397769993,0.00142542821957304
-2,0.00031363282588168,0.000562391318566671,-0.000817752574248795,0.00144501822601215
-1,0,NA,0,0
0,-0.000137083406140717,0.000552124501368373,-0.00124781463416632,0.000973647821884885
1,-0.000468318087432572,0.000553609307307134,-0.0015820363597202,0.000645400184855061
2,0.000398220594063768,0.000660727699241103,-0.000930992087043014,0.00172743327517055
3,0.000673055011997178,0.000637819694627777,-0.000610072708140269,0.00195618273213462
4,9.09872967906012e-05,0.000439285084317566,-0.000792740304408243,0.000974714897989446
5,-0.000448919012744071,0.000545426706640054,-0.00154617601576207,0.000648337990273925
6,7.74527113754169e-05,0.000562331085790394,-0.00105381151603877,0.0012087169387896
7,3.8539467251614e-06,0.000429666333393851,-0.000860523223548969,0.000868231116999292
8,2.6588941643468e-05,0.000525123659213025,-0.0010298235983134,0.00108300148160033
