"rel_week","beta","se","ci_lo","ci_hi"
-16,0.000517849995739765,0.000760081714972654,-0.00101123718401592,0.00204693717549545
-15,-0.000454565150545825,0.00053262280156293,-0.00152606401898622,0.000616933717894571
-14,0.000621737374216775,0.000699192979168441,-0.00078485746889179,0.00202833221732534
-13,0.000326924800750827,0.000993993938482755,-0.00167273307569674,0.0023265826771984
-12,0.000274515469531909,0.000792942122815362,-0.00132067832397864,0.00186970926304246
-11,0.00124653773809575,0.00096306343154823,-0.00069089598444144,0.00318397146063294
-10,0.000187464653256019,0.00105467180899978,-0.0019342613535975,0.00230919066010954
-9,0.0010909367965733,0.000709352818192329,-0.000336097006312593,0.00251797059945919
-8,-0.000128430682128608,0.00089033134889167,-0.00191954632733765,0.00166268496308044
-7,-5.86777677679484e-05,0.000769400167775431,-0.00160651125655226,0.00148915572101636
-6,-0.000821602851846832,0.000647503151572897,-0.00212421117463373,0.00048100547094007
-5,-0.000602417566131711,0.000824579449863304,-0.00226125745221072,0.0010564223199473
-4,-0.000635278840177406,0.000837356852038743,-0.00231982354387297,0.00104926586351815
-3,0.000959279014849646,0.000898355180111553,-0.000847978496699766,0.00276653652639906
-2,0.000623762297910032,0.0011506165695298,-0.00169097967078183,0.00293850426660189
-1,0,NA,0,0
0,-0.000127798068850353,0.00102228138798507,-0.00218436295349181,0.00192876681579111
1,-0.000297796105110352,0.000528701836372589,-0.00136140700902441,0.00076581479880371
2,5.05148915315419e-05,0.000921486029914715,-0.00180327588768389,0.00190430567074697
3,0.000616896255458293,0.00131666762582811,-0.00203189735053651,0.00326568986145309
4,0.000347882338871965,0.000890106294302585,-0.00144278055490242,0.00213854523264635
5,0.000800147434585143,0.000955227472359272,-0.00112152237138768,0.00272181724055797
6,0.000320394634161048,0.000681756337431858,-0.00105112221034264,0.00169191147866474
7,0.00103769971167647,0.000987066305459495,-0.00094802156475396,0.00302342098810689
8,0.000569717384260333,0.0011573091190211,-0.00175848825738332,0.00289792302590398
