"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00206594859472026,0.0045202949465928,-0.00702771188334841,0.0111596090727889
-15,0.00291435982677908,0.00486940034257185,-0.00688161011994231,0.0127103297735005
-14,0.00863592923633952,0.00646840180843593,-0.00437681674077393,0.021648675213453
-13,0.00265312351490279,0.00584202800680098,-0.00909952090872269,0.0144057679385283
-12,0.00109821102249703,0.00482265100934062,-0.00860371139657323,0.0108001334415673
-11,0.00666168920800774,0.00456612869433382,-0.0025241768772876,0.0158475552933031
-10,0.00945531721422863,0.00626945830754508,-0.00315720606219947,0.0220678404906567
-9,0.00270776984669763,0.00489329653097077,-0.00713627303034959,0.0125518127237448
-8,0.00158037080415712,0.00293923769971502,-0.00433261275584148,0.00749335436415572
-7,0.00121786572175804,0.00299025804225432,-0.00479775752835123,0.0072334889718673
-6,0.00115493320525468,0.00419133516208015,-0.00727694554692207,0.00958681195743142
-5,0.00186017306855329,0.00263481855523197,-0.00344039816533379,0.00716074430244037
-4,-0.00272103670332049,0.00324599316508814,-0.00925113266081821,0.00380905925417723
-3,0.00652162294414616,0.00522990724101418,-0.00399959333565073,0.0170428392239431
-2,0.00660015405660409,0.00489350254599057,-0.0032443032692049,0.0164446113824131
-1,0,NA,0,0
0,0.00118215189407557,0.00483488388168473,-0.00854437988988864,0.0109086836780398
1,0.00447685559929488,0.0046221275524049,-0.00482166565750466,0.0137753768560944
2,0.00365545540313347,0.00511744149706282,-0.00663950898314971,0.0139504197894166
3,0.0099442011640831,0.005403714363289,-0.000926669945168818,0.020815072273335
4,0.00795005652700054,0.00625847090439929,-0.00464036294537847,0.0205404759993796
5,0.00312894153436672,0.00400820241047537,-0.00493452164201588,0.0111924047107493
6,0.0107944195326313,0.00752588555242679,-0.00434570933487922,0.0259345484001418
7,0.00797305535748801,0.0059123586294928,-0.00392107602916245,0.0198671867441385
8,0.00773333408135912,0.00637494902728246,-0.00509140914978715,0.0205580773125054
