"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00180525633900071,0.00161964638197203,-0.00506356458352969,0.00145305190552826
-15,-0.000608149562462763,0.00141926436867595,-0.00346334119262127,0.00224704206769574
-14,-0.000590241016208765,0.0016379185666263,-0.00388530815488107,0.00270482612246354
-13,0.000513099983966351,0.00146013173626003,-0.00242430618525055,0.00345050615318325
-12,-0.000290900537057021,0.00124774197165858,-0.00280103361212365,0.00221923253800961
-11,0.00386558260183815,0.00180818854025148,0.000227976458952357,0.00750318874472394
-10,0.000322028929184681,0.00144365713589944,-0.00258223461903929,0.00322629247740865
-9,-0.000369816547826755,0.00212941928025642,-0.00465365558463587,0.00391402248898236
-8,0.000940210948045706,0.00109943608439731,-0.00127156916519277,0.00315199106128419
-7,9.28858062182935e-05,0.00131788163290041,-0.0025583500669878,0.00274412167942439
-6,0.00142636784562285,0.00171320391495464,-0.00202015387837183,0.00487288956961754
-5,0.000933063044252298,0.00253641848951713,-0.00416955279088257,0.00603567887938716
-4,0.00166459450380088,0.00206879270183018,-0.00249727958897936,0.00582646859658112
-3,0.00108346127984351,0.00192320282677393,-0.00278552376289722,0.00495244632258424
-2,0.00173634595575764,0.0020506049997083,-0.00238893919981236,0.00586163111132764
-1,0,NA,0,0
0,0.00051815879312835,0.00127909546486386,-0.00205504937446629,0.00309136696072299
1,-0.000449216301586138,0.0020522357280783,-0.00457778205948495,0.00367934945631268
2,0.000346269648267455,0.0015554223094481,-0.0027828364276084,0.00347537572414331
3,0.00211589154104978,0.00326977802150431,-0.0044620533757136,0.00869383645781316
4,0.00296498387461872,0.00193807357140773,-0.000933917247571152,0.00686388499680859
5,0.00274352827954864,0.00194168609395618,-0.0011626403006087,0.00664969685970598
6,0.000905418667226057,0.00184780580744345,-0.00281188713711307,0.00462272447156518
7,0.00317982685402445,0.00166780559493027,-0.000175365230321954,0.00653501893837085
8,0.00372448629486259,0.00146795106591072,0.000771349663397196,0.00667762292632799
