"rel_week","beta","se","ci_lo","ci_hi"
-16,0.00117019946870768,0.00200036042257691,-0.00285400663545187,0.00519440557286724
-15,-0.0023997893362377,0.0017027495211635,-0.00582527953269627,0.00102570086022086
-14,0.00164179694991045,0.00157781437826028,-0.0015323561579811,0.004815950057802
-13,-0.00101148590006281,0.00215645827043518,-0.00534972036886487,0.00332674856873925
-12,-2.55189387191324e-05,0.00152274398446513,-0.00308888470430592,0.00303784682686766
-11,0.000662941525758933,0.00132852699584455,-0.00200971005536525,0.00333559310688311
-10,0.00163161075257188,0.00195042357772235,-0.00229213537766593,0.0055553568828097
-9,-0.000424008153310687,0.0018380899325935,-0.00412176813858785,0.00327375183196648
-8,-0.000462286365014315,0.00166157915205233,-0.00380495246196674,0.00288037973193811
-7,-0.000267012152236956,0.00158880729441447,-0.00346328015491991,0.002929255850446
-6,0.00134773132127766,0.00110837296663014,-0.000882027480015037,0.00357749012257035
-5,-0.000171659847103134,0.00214936052830486,-0.00449561550050564,0.00415229580629937
-4,-0.0019432320832455,0.00177256379675546,-0.00550917048634911,0.00162270631985811
-3,-0.000259474792285707,0.00238800800448073,-0.00506352724201056,0.00454457765743914
-2,0.00237567998068138,0.00145422287901397,-0.000549839101023751,0.00530119906238652
-1,0,NA,0,0
0,0.00148253675378958,0.00238280921908815,-0.00331105708873884,0.006276130596318
1,-0.00152219073589981,0.00170548762902263,-0.00495318929486955,0.00190880782306993
2,-0.00551415631976588,0.00153601286546708,-0.00860421563083617,-0.0024240970086956
3,-0.0053532240092431,0.00165491699496756,-0.00868248757487926,-0.00202396044360694
4,-0.00310246924118425,0.000992528869632939,-0.00509917977927124,-0.00110575870309726
5,-0.00600236148444818,0.00258672728128582,-0.0112061855541809,-0.000798537414715451
6,-0.0049452807328928,0.00222691122852518,-0.00942524827179664,-0.000465313193988963
7,-0.00593961662433837,0.00234665973071423,-0.0106604870765544,-0.00121874617212236
8,-0.00436951430276706,0.00281644649530356,-0.0100354738221214,0.00129644521658732
