"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.0579680176735594,0.165908544356226,-0.391732957928911,0.275796922581792
-15,-0.104272626802658,0.105506188810251,-0.316523701281461,0.107978447676145
-14,-0.130721279173537,0.10834714174468,-0.34868761376813,0.0872450554210568
-13,-0.0786092338250975,0.125235482926475,-0.330550528584799,0.173332060934604
-12,-0.0671592838012294,0.110067138686631,-0.288585805927438,0.15426723832498
-11,-0.203802968924972,0.173279763378315,-0.552396889122636,0.144790951272691
-10,-0.0521926162763802,0.156341962513803,-0.366712076261417,0.262326843708657
-9,-0.0619145302932242,0.185677941694301,-0.435450368105604,0.311621307519155
-8,-0.079897103286209,0.115622897943165,-0.312500371393317,0.152706164820899
-7,-0.0828275283368065,0.135794237184762,-0.356010296812421,0.190355240138808
-6,-0.153654212061936,0.162602862660176,-0.480768978523849,0.173460554399977
-5,-0.112379940540833,0.132711908387153,-0.379361863297662,0.154601982215996
-4,-0.0584770228530036,0.14337897136185,-0.346918308358538,0.229964262652531
-3,-0.134505119190704,0.127982817383816,-0.391973337983005,0.122963099601598
-2,0.00796992776182692,0.113201464750253,-0.219762045089808,0.235701900613462
-1,0,NA,0,0
0,-0.0815369328704306,0.0575915580395113,-0.197396203427335,0.0343223376864734
1,-0.306087867756914,0.102002850034551,-0.511291133687322,-0.100884601826505
2,-0.407859332830285,0.163904315897047,-0.737592285495535,-0.0781263801650346
3,-0.390374625722269,0.16855627501255,-0.729466113008392,-0.0512831384361453
4,-0.465452059767398,0.178309341818237,-0.824164186679634,-0.106739932855162
5,-0.513526846709636,0.139199026328019,-0.793559167445448,-0.233494525973823
6,-0.375762057864043,0.15200693260547,-0.681560562554257,-0.0699635531738289
7,-0.488962475980935,0.14823658700202,-0.787176023669925,-0.190748928291944
8,-0.579802972072102,0.159187279563132,-0.900046471639682,-0.259559472504523
